District,Latitude,Longitude,OSM_ID,No,Yes,Yes%
Kohmo,60.4584505,22.3506492,10762964,0.7586812056583143,0.2413187943416857,24.13187943416857
Iso-Heikkilä,60.4484526,22.22933169274955,10762963,0.5577807339855283,0.44221926601447176,44.22192660144717
Koroinen,60.4684121,22.2922303,10761467,0.652349946674696,0.3476500533253039,34.76500533253039
Ispoinen,60.4237057,22.2731031,10762765,0.8407466633288001,0.15925333667119987,15.925333667119986
Pitkämäki,60.4603776,22.2290066,10764117,0.6372916615955969,0.3627083384044031,36.27083384044031
Särkilahti,60.4163181,22.19779843118863,10762414,0.6124312958743926,0.3875687041256074,38.75687041256074
Artukainen,60.4520119,22.1805378,10761591,0.7447354924726342,0.25526450752736585,25.526450752736586
Peltola,60.4266648,22.2995023,10762771,0.37513039869313813,0.6248696013068619,62.486960130686185
III,60.4436283,22.266856510051102,8837201,0.6710597672723251,0.328940232727675,32.8940232727675
Luolavuori,60.4321006,22.2797255,10762772,0.7167757557789258,0.28322424422107423,28.322424422107424
Lauste,60.433687,22.3468219,10762969,0.7027640940942408,0.29723590590575916,29.723590590575917
VI,60.4547601,22.269699884085817,8837206,0.4396679628888598,0.5603320371111402,56.03320371111402
Harittu,60.4152528,22.3085168,10762762,0.8039139657579031,0.19608603424209697,19.608603424209697
Ruissalo,60.42559645,22.130866207965724,9212031,0.9350845686798421,0.06491543132015784,6.491543132015784
Korppolaismäki,60.4306364,22.2395476128064,10761470,0.6799900420628308,0.32000995793716924,32.000995793716925
Vätti,60.4690974,22.2564042,10764112,0.7734135419778068,0.2265864580221933,22.65864580221933
Pohjola,60.4568331,22.2554497,10761464,0.5896197548135527,0.4103802451864473,41.038024518644725
Pahaniemi,60.4566226,22.1988169,10764118,0.9052700097551429,0.09472999024485707,9.472999024485706
Kastu,60.4726753,22.2747063,10761466,0.7148984912667316,0.28510150873326845,28.510150873326843
Perno,60.4565262,22.1606412,10761592,0.7999432415294825,0.2000567584705175,20.005675847051748
Varissuo,60.4478329,22.3581559,10762966,0.6093011312945965,0.3906988687054035,39.06988687054035
Uittamo,60.4213403,22.2589662,10762767,0.8582758177790535,0.14172418222094654,14.172418222094654
Pääskyvuori,60.4447342,22.3397955,10762967,0.6998632017012594,0.3001367982987406,30.013679829874064
Kaerla,60.4808569,22.2671333,10764111,0.9123801785024088,0.08761982149759119,8.761982149759119
Runosmäki,60.4897448,22.2616184,10764109,0.6894193873337546,0.3105806126662454,31.05806126662454
Kaistarniemi,60.4020555,22.25468,10762419,0.5791483258679668,0.42085167413203317,42.085167413203315
Lauttaranta,60.4263921,22.2233,10762420,0.9079611009341779,0.09203889906582208,9.203889906582209
Kärsämäki,60.4801621,22.2797293,10764108,0.6444898282727036,0.3555101717272963,35.55101717272963
Port of Turku,60.4457062,22.167256961122582,10585534,0.8511886189287945,0.1488113810712055,14.88113810712055
I,60.45304495,22.285114907314156,8837203,0.5287145636919967,0.47128543630800335,47.12854363080034
Papinsaari,60.39436155,22.269328258338597,11487463,0.6911587198789519,0.30884128012104806,30.884128012104807
Puistomäki,60.4283582,22.2599634,10762766,0.8500812819370973,0.1499187180629027,14.99187180629027
Yli-Maaria,60.5449261,22.3113877,10764098,0.7008792051835151,0.29912079481648496,29.912079481648497
Friskala,60.3998388,22.2260987,10762416,0.5935434529201896,0.4064565470798104,40.64565470798104
Huhkola,60.4286677,22.3370739,10762970,0.8241056296936661,0.17589437030633395,17.589437030633395
Maanpää,60.4114029,22.156893,10761569,0.9272987012870986,0.07270129871290137,7.270129871290138
Vasaramäki,60.4399336,22.3102732,10762971,0.8092729001875231,0.19072709981247693,19.072709981247694
Kakskerta,60.358929200000006,22.22624871985942,9733824,0.7796393016307741,0.22036069836922587,22.036069836922586
Pikisaari,60.4290175,22.2014697,10761567,0.8980732781127085,0.1019267218872914,10.19267218872914
Itäharju,60.4490678,22.3087549,10762972,0.5559779283611869,0.44402207163881313,44.402207163881315
Raunistula,60.4640665,22.2776288,8837205,0.6817474395305905,0.3182525604694095,31.825256046940947
VIII,60.44530625,22.24522499633178,8837208,0.7542224926081963,0.24577750739180373,24.577750739180374
Oriniemi,60.3923785,22.17387715358517,10762411,0.8382709325661309,0.16172906743386903,16.172906743386903
Halinen,60.4711502,22.3198878,10761465,0.8143370052918485,0.1856629947081515,18.56629947081515
Ilpoinen,60.4219798,22.2887862,10762763,0.6322394768725335,0.36776052312746654,36.77605231274666
Vaala,60.4362161,22.3616008,10762968,0.8359181349701484,0.16408186502985153,16.408186502985153
Räntämäki,60.4746507,22.3018496,10764110,0.8495735436882662,0.15042645631173376,15.042645631173377
Kähäri,60.4613124,22.2497649,10764116,0.8673516957686795,0.1326483042313204,13.26483042313204
Mäntymäki,60.4371589,22.26770785661,10762761,0.949679695415462,0.05032030458453796,5.0320304584537965
VII,60.450297250000006,22.257027756348627,8837207,0.35964605465590804,0.640353945344092,64.03539453440919
Koivula,60.4210462,22.3031888,10762974,0.5269142758518577,0.4730857241481424,47.308572414814236
Teräsrautela,60.4734429,22.2387794,10764113,0.30830120012328044,0.6916987998767196,69.16987998767196
V,60.4372195,22.2444128,8837199,0.7866985458643768,0.21330145413562318,21.330145413562317
Moikoinen,60.4180303,22.2373111,10762421,0.8707937229160376,0.12920627708396237,12.920627708396237
Ruohonpää,60.4660757,22.2396999,10764115,0.6017089009073247,0.3982910990926753,39.82910990926753
Vähäheikkilä,60.431626,22.255878,8837198,0.6351320232733166,0.3648679767266833,36.48679767266833
Kurjenmäki,60.4398819,22.281293808478488,10762760,0.6350643997022005,0.3649356002977995,36.49356002977995
Kupittaa,60.4470358,22.29613619745664,8837204,0.3287178458893444,0.6712821541106556,67.12821541106557
II,60.446920950000006,22.27735229048366,8837202,0.6596648349118286,0.34033516508817135,34.03351650881714
Toijainen,60.4096284,22.2162707,10762415,0.8365756695532622,0.16342433044673774,16.342433044673772
Mälikkälä,60.4756705,22.2157423,10764114,0.8616620661977084,0.13833793380229165,13.833793380229164
Kukola,60.4089677,22.2345605,10762418,0.48873719335757526,0.5112628066424247,51.12628066424247
IV,60.44052355,22.255197599700253,8837200,0.7717857382834541,0.22821426171654594,22.821426171654593
Jäkärlä,60.5392233,22.3549908,10764099,0.5517317891715766,0.4482682108284234,44.826821082842336
Katariina,60.4092325,22.27899545560333,10762764,0.6648501593326805,0.3351498406673194,33.51498406673194
Nummi,60.45780355,22.30523268665229,10761468,0.7497491548925468,0.25025084510745327,25.025084510745327
Saramäki,60.5040084,22.317822,10764103,0.7813766693647756,0.2186233306352244,21.862333063522442
IX,60.44003065,22.23886096632586,8837209,0.7385401130659744,0.26145988693402555,26.145988693402554
Pansio,60.4484343,22.1541867,10761590,0.8855677383595342,0.1144322616404658,11.44322616404658
Paattinen,60.644726,22.421241777144488,10764096,0.7196820919849924,0.28031790801500756,28.031790801500755
Kurala,60.4587108,22.3295533,10762965,0.6544819585627695,0.3455180414372305,34.551804143723054
Skanssi,60.4273026,22.3224894,10762973,0.9640293854921912,0.03597061450780876,3.597061450780876
Pihlajaniemi,60.4265305,22.2452794,10761469,0.6817456501459562,0.31825434985404377,31.825434985404378
Jänessaari,60.4212874,22.18520061618492,10761568,0.800276792320977,0.199723207679023,19.9723207679023
Illoinen,60.408681,22.1843821,10762413,0.7687084344842117,0.23129156551578836,23.129156551578838
Satava,60.36589005,22.14834199753553,9576311,0.7773305110595968,0.22266948894040314,22.266948894040315
Haarla,60.3943887,22.2206466,10762412,0.7449415065043672,0.25505849349563275,25.505849349563274
Oriketo,60.4830999,22.3117985,10764107,0.6054166407351693,0.39458335926483074,39.45833592648307
