Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
Brot und Spiele,Vienna,cafe zeit,Dive Bar,1
Brot und Spiele,Vienna,Tientien,Massage Studio,1
Brot und Spiele,Vienna,Pension Baronesse,Hotel,1
Brot und Spiele,Vienna,Röntgenordination Dock & Mendel,Medical Lab,1
Brot und Spiele,Vienna,Task Till Done HQ 2,Tech Startup,1
Brot und Spiele,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,1
Brot und Spiele,Vienna,Muscheln & Mehr,Mediterranean Restaurant,1
Brot und Spiele,Vienna,Kaisaki Running Sushi,Sushi Restaurant,1
Brot und Spiele,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,1
Brot und Spiele,Vienna,Drei,Mobile Phone Shop,1
Brot und Spiele,Vienna,L'osteria del Salento,Trattoria/Osteria,1
Brot und Spiele,Vienna,Volxkino,Indie Movie Theater,1
Brot und Spiele,Vienna,Österreichisches Museum für Volkskunde,History Museum,1
Brot und Spiele,Vienna,Bolena,Bar,1
Brot und Spiele,Vienna,Die Kantin,Gastropub,1
Brot und Spiele,Vienna,Ancha's Platz,Residential Building (Apartment / Condo),1
Brot und Spiele,Vienna,Pizzeria Mille Notte,Italian Restaurant,1
Brot und Spiele,Vienna,zum sussen eck,Candy Store,1
Brot und Spiele,Vienna,Kai Saki,Asian Restaurant,1
Brot und Spiele,Vienna,Schwerelos,Spa,1
Brot und Spiele,Vienna,Antiquariat Höcher,Bookstore,1
Brot und Spiele,Vienna,Schilddrüsenspraxis,Medical Center,1
Brot und Spiele,Vienna,Kosmetikmacherei,Cosmetics Shop,1
Brot und Spiele,Vienna,Hundezone Schönbornpark,Dog Run,1
Brot und Spiele,Vienna,Urban Stay (Hotel Columbia),Hotel,1
Brot und Spiele,Vienna,Schöfmann,Restaurant,1
Brot und Spiele,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,1
Brot und Spiele,Vienna,Stefan-Zweig-Haus,Historic Site,1
Brot und Spiele,Vienna,BAWAG,Bank,1
Brot und Spiele,Vienna,The Birdyard,Restaurant,1
Brot und Spiele,Vienna,U.S.W. Beisl,Bar,1
Brot und Spiele,Vienna,Yami Noodles,Japanese Restaurant,1
Brot und Spiele,Vienna,Dr. Klaudia Stockinger,Doctor's Office,1
Brot und Spiele,Vienna,Elfenbein Pole Dance,College Gym,1
Brot und Spiele,Vienna,Mag. Ralph Kilches,Office,1
Brot und Spiele,Vienna,Hackabu,Office,1
Brot und Spiele,Vienna,Dr. Andreas Schindler,Doctor's Office,1
Brot und Spiele,Vienna,true nails,Nail Salon,1
Brot und Spiele,Vienna,H Laudongasse/Lederergasse (13A),Bus Stop,1
Brot und Spiele,Vienna,Restaurant Dionysos,Greek Restaurant,1
Brot und Spiele,Vienna,Shiatsu Praxis Martina Postl,Yoga Studio,1
Brot und Spiele,Vienna,ÖAAB Wien,Convention Center,1
Brot und Spiele,Vienna,rumpelstilzchen,Toy / Game Store,1
Brot und Spiele,Vienna,Grape Hq,Tech Startup,1
Brot und Spiele,Vienna,Putzerei Harter,Laundry Service,1
Brot und Spiele,Vienna,Fachärzte Kochgasse,Medical Center,1
Brot und Spiele,Vienna,Dr. Beatrice Krüttner,Doctor's Office,1
Brot und Spiele,Vienna,Orthopädische Ordination Dr. Grestenberger,Medical Center,1
Brot und Spiele,Vienna,bluem im museum,Vegetarian / Vegan Restaurant,1
Brot und Spiele,Vienna,die kugeln,Public Art,1
Brot und Spiele,Vienna,Zaharzt Dr. Kunz,Dentist's Office,1
Brot und Spiele,Vienna,Printshop Alserstraße,Paper / Office Supplies Store,1
Brot und Spiele,Vienna,andy's best burger,Dumpling Restaurant,1
Brot und Spiele,Vienna,Shabby Schnitt,Salon / Barbershop,1
Brot und Spiele,Vienna,open the door,General Entertainment,1
Brot und Spiele,Vienna,Peter Solar,Dentist's Office,1
Brot und Spiele,Vienna,Schlosserei Holl,Miscellaneous Shop,1
Brot und Spiele,Vienna,Schilddrüsenzentrum,Doctor's Office,1
Brot und Spiele,Vienna,Postfiliale 1082 & BAWAG P.S.K.,Post Office,1
Brot und Spiele,Vienna,Mongolisches Cafė-Restaurant 19.12,Mongolian Restaurant,1
Brot und Spiele,Vienna,Handyramschparadies,Electronics Store,1
Brot und Spiele,Vienna,Rotes Antiquariat,Used Bookstore,1
Brot und Spiele,Vienna,Hemmingway's Pub,Pub,1
Brot und Spiele,Vienna,AKH 4L - Biomedizinische Technik,University,1
Brot und Spiele,Vienna,zimmeracht,Furniture / Home Store,1
Brot und Spiele,Vienna,dr. Zauneith-Canigiani / röntgen,Medical Center,1
Brot und Spiele,Vienna,Kochgasse 8,Historic Site,1
Brot und Spiele,Vienna,,Residential Building (Apartment / Condo),1
Brot und Spiele,Vienna,Golfzone,Sporting Goods Shop,1
Brot und Spiele,Vienna,Golf Zone,Sporting Goods Shop,1
Brot und Spiele,Vienna,SchwiMu,Residential Building (Apartment / Condo),1
Brot und Spiele,Vienna,Piaristengymnasium Wien 8.,College Classroom,1
Brot und Spiele,Vienna,Swimming Pool Sync & Licensing,Office,1
Brot und Spiele,Vienna,Kampftrinker-Arena Aschauer,Casino,1
Brot und Spiele,Vienna,ink music,Office,1
Brot und Spiele,Vienna,Buchhaltungskanzlei Aysun Liess,Office,1
Brot und Spiele,Vienna,Espressofilm,Indie Movie Theater,1
Café Benno,Vienna,1080 City Apartments,Bed & Breakfast,1
Café Benno,Vienna,Haardware Friseurbedarf,Cosmetics Shop,1
Café Benno,Vienna,Osteria Dal Toscano,Trattoria/Osteria,1
Café Benno,Vienna,McDonald's,Fast Food Restaurant,1
Café Benno,Vienna,H Hernalser Gürtel,Tram Station,1
Café Benno,Vienna,Medizinisches Zentrum Alser Straße (mza),Medical Center,1
Café Benno,Vienna,Hot Dog Standl,BBQ Joint,1
Café Benno,Vienna,Zentrum fuer Reisemedizin,Medical Center,1
Café Benno,Vienna,Grill Lepenac,Eastern European Restaurant,1
Café Benno,Vienna,Heidenkummer,Austrian Restaurant,1
Café Benno,Vienna,Dott. Mag. Tommaso Avventi,Dentist's Office,1
Café Benno,Vienna,Pfarre Alservorstadt,Church,1
Café Benno,Vienna,Nora Pure Sports,Sporting Goods Shop,1
Café Benno,Vienna,Crime Runners,General Entertainment,1
Café Benno,Vienna,St. Anna Kinderspital,Hospital,1
Café Benno,Vienna,Exit the Room,Arcade,1
Café Benno,Vienna,The Hamam,Tanning Salon,1
Café Benno,Vienna,Cafe Ex,Nightclub,1
Café Benno,Vienna,Zoo Alsergrund,Pet Store,1
Café Benno,Vienna,Flarent Vienna Apartments,Vacation Rental,1
Café Benno,Vienna,united backyard cutters,Castle,1
Café Benno,Vienna,Cafe Auszeit,Café,1
Café Benno,Vienna,mediamid digital services GmbH,Office,1
Café Benno,Vienna,Bennogasse,Residential Building (Apartment / Condo),1
Café Benno,Vienna,B72,Music Venue,1
Café Benno,Vienna,Albertplatz,Plaza,1
Café Benno,Vienna,A1 Telekom Austria Hebragasse,Office,1
Café Benno,Vienna,Steindl's Weinhaus,Gastropub,1
Café Benno,Vienna,El Feo,Bar,1
Café Benno,Vienna,Recheninstitut,College Auditorium,1
Café Benno,Vienna,Med. Zentrum Alser Straße (mza),Medical Center,1
Café Benno,Vienna,Moody,Lounge,1
Café Benno,Vienna,Institut Für Virologie,General College & University,1
Café Benno,Vienna,Pub Speakeasy,Pub,1
Café Benno,Vienna,Kindermed,Doctor's Office,1
Café Benno,Vienna,oliver stark - zentrum der kraft,Nightclub,1
Café Benno,Vienna,Institut für Spezifische Prophylaxe und Tropenmedizin,Medical School,1
Café Benno,Vienna,Podologische Fußpflege Silvia Habacht-Lindauer,Health & Beauty Service,1
Café Benno,Vienna,Breitenfeldergasse 6-8,General Entertainment,1
Café Benno,Vienna,Piano Bar,Hookah Bar,1
Café Benno,Vienna,Multiple Sklerose Gesellschaft Wien,Building,1
Café Benno,Vienna,Breitenfelder Gasse 10,Building,1
Café Benno,Vienna,Isis Brunnen,Fountain,1
Café Benno,Vienna,Kebap Dürüm Hotdog,Food Stand,1
Café Benno,Vienna,"Zentrum f. Public Health, Allgemein- u. Familienmedizin",Medical School,1
Café Benno,Vienna,club duplex,Nightclub,1
Café Benno,Vienna,U6,Metro Station,1
Café Benno,Vienna,Cafe - Restaurant Ka&Ko,Restaurant,1
Café Benno,Vienna,Botschaft der Republic Nordmacedonien,Embassy / Consulate,1
Café Benno,Vienna,club medusa,Nightclub,1
Café Benno,Vienna,Kamera - Service u. Fotohandel Helmut Redl,Other Repair Shop,1
Café Benno,Vienna,Donauwalzer,Hotel,1
Café Benno,Vienna,ESN Uni Wien Office,Office,1
Café Benno,Vienna,Sonovista Studio,Office,1
Café Benno,Vienna,SHARE architects,Building,1
Café Benno,Vienna,Holzschnitzerei Staffler,Miscellaneous Shop,1
Café Benno,Vienna,Tattoo & Art Vienna,Tattoo Parlor,1
Café Benno,Vienna,Seniorentreff Alser Straße,Event Space,1
Café Benno,Vienna,Kindergarten Heidi,Nursery School,1
Café Benno,Vienna,Polizeianhaltezentrum,Prison,1
Café Benno,Vienna,pole arts,Gym / Fitness Center,1
Café Benno,Vienna,PoleArts,Athletics & Sports,1
Café Benno,Vienna,Würstelstand Hernalser Gürtel,Hot Dog Joint,1
Café Benno,Vienna,Apertus der Löwenbrunnen,Well,1
Café Benno,Vienna,Styleline By MM,Health & Beauty Service,1
Café Benno,Vienna,Diamond Beauty & More,Health & Beauty Service,1
Café Benno,Vienna,Dr. Karin Pölzl,Veterinarian,1
Café Benno,Vienna,ZI8 Coworking & Event Space,Coworking Space,1
Café Benno,Vienna,Premiummedia,Office,1
Café Benno,Vienna,Haus Claret,Church,1
Café Benno,Vienna,Kräuterdrogerie,Pharmacy,1
Café Benno,Vienna,Hygieneinstitut,Medical School,1
Café Benno,Vienna,medizinzentrum alser straße,Medical Center,1
Café Benno,Vienna,Werbe Akademie,General College & University,1
Café Benno,Vienna,Edition Steinbauer GmbH,Residential Building (Apartment / Condo),1
Café Benno,Vienna,Top Swap,Flea Market,1
Café Benno,Vienna,Velio Software,Tech Startup,1
Café Benno,Vienna,artbauer Kfz,Automotive Shop,1
Café Benno,Vienna,Toms Hütte,General Entertainment,1
Café Benno,Vienna,Feinkost•Obst•Gemüse•Imbiss•Zeitschriften,Grocery Store,1
Café Benno,Vienna,Döblinger Hauptstraße 16/17,Residential Building (Apartment / Condo),1
Café Benno,Vienna,Raffeiner,General Entertainment,1
Café Benno,Vienna,Bernis palace of drunkness,Palace,1
Café Benno,Vienna,https://zi8.at/,Event Space,1
Café Benno,Vienna,Cafe Angelo,Bar,1
Café Benno,Vienna,Easy Sun,Tanning Salon,1
Café Benno,Vienna,IFES,Office,1
Café Benno,Vienna,Easy Sun,General Entertainment,1
Café Benno,Vienna,HRVATSKI POVIJESNI INSTITUT U BECU,Office,1
Café Benno,Vienna,Galerie,Arcade,1
Café Benno,Vienna,/digiconcept/,Office,1
Café Benno,Vienna,Atelier Rahmen-Bilder-Spiegel,Art Gallery,1
Café Benno,Vienna,R& A 's,Art Gallery,1
Café Benno,Vienna,moons hood,Shrine,1
Café Benno,Vienna,Mc'i,Fast Food Restaurant,1
Café Benno,Vienna,Room 403,Bed & Breakfast,1
Café Sperlhof,Vienna,Pfadfindergruppe Wien 51,General College & University,1
Café Sperlhof,Vienna,Monte Ofelio,Deli / Bodega,1
Café Sperlhof,Vienna,X-MAS Motorcycle Electrics,Shop & Service,1
Café Sperlhof,Vienna,Augartenspitz,Park,1
Café Sperlhof,Vienna,HOFER,Supermarket,1
Café Sperlhof,Vienna,Restaurant Leopold,Restaurant,1
Café Sperlhof,Vienna,omas Backstube,Bakery,1
Café Sperlhof,Vienna,Filmarchiv Austria,Library,1
Café Sperlhof,Vienna,McDonald's,Fast Food Restaurant,1
Café Sperlhof,Vienna,5B Taborstraße,Bus Stop,1
Café Sperlhof,Vienna,U Taborstraße,Metro Station,1
Café Sperlhof,Vienna,Urban Gardening Augartenspitz,Garden,1
Café Sperlhof,Vienna,Zahnarzt Dr. Zadina,Dentist's Office,1
Café Sperlhof,Vienna,MuTh - Konzertsaal der Wiener Sängerknaben,Theater,1
Café Sperlhof,Vienna,Machma Naturseifen,Miscellaneous Shop,1
Café Sperlhof,Vienna,Dr. Brandl,Doctor's Office,1
Café Sperlhof,Vienna,5a Malzgasse,Bus Stop,1
Café Sperlhof,Vienna,glanzrad.at,Bike Shop,1
Café Sperlhof,Vienna,H Taborstraße,Tram Station,1
Café Sperlhof,Vienna,Nguyen’s,Vietnamese Restaurant,1
Café Sperlhof,Vienna,Miesbachgasse,Residential Building (Apartment / Condo),1
Café Sperlhof,Vienna,Hundeparcours,Dog Run,1
Café Sperlhof,Vienna,Bobby's Indian Stuff,Miscellaneous Shop,1
Café Sperlhof,Vienna,das taschenfahrrad,Bike Shop,1
