City_name,Venue_name,Venue_cat,Venue_catID
Aachen,Wochenmarkt,Farmers Market,4bf58dd8d48988d1fa941735
Aachen,Loft 45,Boutique,4bf58dd8d48988d104951735
Aachen,Bürgerservice Aachen,Building,4bf58dd8d48988d130941735
Aachen,Berlitz,Office,4bf58dd8d48988d124941735
Aachen,Standesamt Aachen,Office,4bf58dd8d48988d124941735
Aachen,Granusturm,Historic Site,4deefb944765f83613cdba6e
Aachen,Ergo Versicherung,Insurance Office,58daa1558bbb0b01f18ec1f1
Aachen,ENERKO Informatik GmbH,Office,4bf58dd8d48988d124941735
Aachen,Kaiser Karls Gewürzgarten,Historic Site,4deefb944765f83613cdba6e
Aachen,AOK,Building,4bf58dd8d48988d130941735
Aachen,Home by ASA,Gift Shop,4bf58dd8d48988d128951735
Aachen,Van Hout Partout,Furniture / Home Store,4bf58dd8d48988d1f8941735
Aachen,Vaude,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Aachen,Eiswelt,Ice Cream Shop,4bf58dd8d48988d1c9941735
Aberdeen,Mercat Cross,Other Great Outdoors,4bf58dd8d48988d162941735
Aberdeen,Castlegate,Plaza,4bf58dd8d48988d164941735
Aberdeen,Siam Cottage,Thai Restaurant,4bf58dd8d48988d149941735
Aberdeen,La Lombarda,Italian Restaurant,4bf58dd8d48988d110941735
Aberdeen,Tolbooth Museum,History Museum,4bf58dd8d48988d190941735
Aberdeen,castlegate post office,Post Office,4bf58dd8d48988d172941735
Aberdeen,Sheriff court,Courthouse,4bf58dd8d48988d12b941735
Aberdeen,Aberdeen Citadel Corps,Church,4bf58dd8d48988d132941735
Aberdeen,Just A Cut,Salon / Barbershop,4bf58dd8d48988d110951735
Aberdeen,The Archibald Simpson (Wetherspoon),Pub,4bf58dd8d48988d11b941735
Aberdeen,Fierce Bar Aberdeen,Beer Bar,56aa371ce4b08b9a8d57356c
Aberdeen,The Carlton,Pub,4bf58dd8d48988d11b941735
