District,Venue_name,Venue_cat
Kohmo,Silvolanrinne,Building
Kohmo,Pysäkki 1651,Bus Station
Kohmo,2/2a päätepysäkki🌚,Bus Station
Kohmo,Bussipysäkki 1651,Bus Stop
Kohmo,🚜Jonnen nopee raktori🚜,Transportation Service
Kohmo,kohmon kenttä,Park
Kohmo,Iskän Kämppä,Assisted Living
Kohmo,iskän auto🚘,Rental Car Location
Kohmo,tissi/kana taivas,Arepa Restaurant
Kohmo,thuyn vessa,Public Bathroom
Kohmo,Tarun kolo,Beach Bar
Kohmo,Sonjan Residenssi,Residential Building (Apartment / Condo)
Kohmo,kohmoo hoods🌚,African Restaurant
Kohmo,OKT 39,Playground
Kohmo,Nava's,Castle
Kohmo,Marinalla,Strip Club
Kohmo,tobba varasto,Speakeasy
Kohmo,Markusen Lukaali🏢,Bar
Kohmo,Janun Luola,Gay Bar
Kohmo,akken kaverin  kämppä,Strip Club
Kohmo,Yannick's apartment,Residential Building (Apartment / Condo)
Kohmo,Hieroja Lindberg,Bath House
Kohmo,Six Feet Under,Video Game Store
Kohmo,Role's place,Club House
Kohmo,Ninon runkkuluola,American Restaurant
Kohmo,Lara's,Assisted Living
Kohmo,assu's place,Castle
Kohmo,Tarun iskelmäparveke 😎🎶,Caribbean Restaurant
Kohmo,Selidos homestudio,Nightclub
Kohmo,Vitut Olet 🤓,Night Market
Kohmo,Koirakeskus,Dog Run
Kohmo,Esterin Lukaali✨💖,Fair
Kohmo,Pururata,Trail
Kohmo,Juho's,Assisted Living
Kohmo,R pappan koti🤘🏻,Assisted Living
Kohmo,Raivionkujan vuokrakasarmit,Assisted Living
Kohmo,juho's,Comedy Club
Kohmo,Benuuy's place,Music Venue
Kohmo,rusun rapluukku,Lounge
Kohmo,IskänSohva,Other Nightlife
Kohmo,elle's kitchen,Comfort Food Restaurant
Kohmo,Lauran&Jennan Huone,Karaoke Bar
Kohmo,Manola,Trailer Park
Kohmo,KoskelaistenTV,Movie Theater
Kohmo,Bed,Strip Club
Kohmo,Jonten Lukaali,Brewery
Kohmo,kohmoon jääkenttä,Brewery
Kohmo,Ellen palatsi 👑,Nightclub
Kohmo,Iskän Parveke,Lounge
Kohmo,valto's bed,Other Nightlife
Kohmo,Kohmon Jäät,Nightclub
Kohmo,Lempiäisen partyhouse🍻,Bar
Kohmo,oksa's,Strip Club
Kohmo,alec's,Strip Club
Kohmo,Valton kesäpiha,Cocktail Bar
Kohmo,ida's Partyhouse🎉🎉,Nightclub
Kohmo,Kohmo Hoods,Housing Development
Kohmo,Julle's house,Bar
Kohmo,Antsan Kämppä,Nightclub
Kohmo,riinan party house🎉,Nightclub
Kohmo,Selingin Ruokapöytä,Breakfast Spot
Kohmo,Jounin Toyota 🚘,Rental Car Location
Kohmo,Kellari,Tunnel
Kohmo,Kattilan keittomaja,Bar
Kohmo,Soiniset,Residential Building (Apartment / Condo)
Kohmo,Skate Parkki Kohmo,Skate Park
Kohmo,Kohmon päiväkoti,Playground
Kohmo,Suomisen mazda,Moving Target
Kohmo,Hiedin auto🚘,Tree
Kohmo,Kattila's masterchef kitchen 🍴,Buffet
Kohmo,Kotisohva,Sports Bar
Kohmo,infected-design,Design Studio
Kohmo,dogo's,Dog Run
Kohmo,LauranParisänky🔥,Burrito Place
Kohmo,pysäkki 1652,Bus Stop
Kohmo,Al-Husseinien futiskenttä ⚽️,Soccer Field
Kohmo,Röökipaikka,Other Great Outdoors
Kohmo,Ellen piha,Other Great Outdoors
Kohmo,universumin hienoin talo is my house #villensänky,Town Hall
Kohmo,Satu's,Assisted Living
Kohmo,timpan lukaali,Assisted Living
Kohmo,Iskänpiha🌲,Assisted Living
Kohmo,mummin talo,Bakery
Kohmo,Pikkunotko,Playground
Kohmo,Slaikka,Castle
Kohmo,muffal ja annel👵🏻👴🏻,Auto Garage
Kohmo,terassi,Nudist Beach
Kohmo,mamin nopee auto😏🔥🚗,Moving Target
Kohmo,Iskän volvo,Travel Lounge
Kohmo,Kohmon lautapeliklubi,General Entertainment
Kohmo,Sannen unelma kämppä 🏦😎,Club House
Kohmo,Halmekujan Työmaa,Fraternity House
Kohmo,soinisten elokuva-teatteri,Comedy Club
Kohmo,mamin nopee mersu,Moving Target
Kohmo,Arsi Koivula Photography,Photography Studio
Kohmo,netan skoda,Transportation Service
Kohmo,eetun wolkswagen,Moving Target
Kohmo,mummi ja soini,Buffet
Iso-Heikkilä,Turun Lasipalvelu Oy,Furniture / Home Store
Iso-Heikkilä,Iso-heikkilän bussipysäkki 🚌,Bus Station
Iso-Heikkilä,Turun Seudun TST ry,Non-Profit
Iso-Heikkilä,Varsinais-Suomen Yrityspalvelu Ky,Other Repair Shop
Iso-Heikkilä,Varsinais-Suomen Yrityspalvelu Ky,Electronics Store
Iso-Heikkilä,Valinta-akku,Miscellaneous Shop
Iso-Heikkilä,gunghästen,Building
Iso-Heikkilä,Akselintie,Assisted Living
Iso-Heikkilä,Ekotori,Flea Market
Iso-Heikkilä,Palvelutalo Iso-Heikki,Medical Center
Iso-Heikkilä,Al Lami Autokorjaamo,Building
Iso-Heikkilä,Nordic Facade Finland,Hardware Store
Iso-Heikkilä,Turun Teräskaluste,Board Shop
Iso-Heikkilä,Jamin Kämppä,Trailer Park
Iso-Heikkilä,pysäkki 767,Building
Iso-Heikkilä,Operaatio Ruokakassi,Bath House
Iso-Heikkilä,TuUL Pyöräilyjaoston talli,Athletics & Sports
Iso-Heikkilä,Jamin Sohva,Nudist Beach
Iso-Heikkilä,Rudus Akselintie,Building
Iso-Heikkilä,natalie's place,Residential Building (Apartment / Condo)
Iso-Heikkilä,Vaasanpuisto,Park
Iso-Heikkilä,Kanslerintie 12,Residential Building (Apartment / Condo)
Iso-Heikkilä,josai perseessä,Volcano
Iso-Heikkilä,Tommin keskitysleiri,Building
Iso-Heikkilä,NeitoVoimaa PASKA,Building
Iso-Heikkilä,Patterinhuolto Oy,Business Service
Iso-Heikkilä,Batterihaka,Military Base
Iso-Heikkilä,JOPO Akselintie,Student Center
Iso-Heikkilä,Diiliprint,Professional & Other Places
Iso-Heikkilä,Autoliike DM Motors,Auto Dealership
Iso-Heikkilä,V-S Halpavarasto,Storage Facility
Iso-Heikkilä,Vs-muutto,Office
Iso-Heikkilä,Kamppailuseura Sankukai ry,Martial Arts School
Iso-Heikkilä,Rannikon Siivoustukku,Cosmetics Shop
Iso-Heikkilä,Villa Solaris,Daycare
Iso-Heikkilä,rumputunnit.com,Prison
Iso-Heikkilä,Skeittihalli Kuutio,Dive Spot
Iso-Heikkilä,nuorten työtuki ry,Housing Development
Iso-Heikkilä,Hoitola Momentum,Spa
Iso-Heikkilä,Hoitola Momentum,Massage Studio
Iso-Heikkilä,Lainakämppä,Nightclub
Iso-Heikkilä,Us-Parts,Miscellaneous Shop
Iso-Heikkilä,Kangas- ja Patjatalo,Fabric Shop
Iso-Heikkilä,Hiusputiikki KatiEllen,Salon / Barbershop
Iso-Heikkilä,Jasmin's Place 🌟✨,Residential Building (Apartment / Condo)
Iso-Heikkilä,Studio,Rock Club
Iso-Heikkilä,Domino Kiinteistöpalvelut Oy,Office
Iso-Heikkilä,Kiinteistöhuolto J. Rusanen Oy,Office
Iso-Heikkilä,Ekkun keskitysleiri☠,Building
Iso-Heikkilä,Jannen keskitysleiri,Building
Iso-Heikkilä,Susannan keskitysleiri💀,Building
Iso-Heikkilä,21st Century Music Workshop,Office
Iso-Heikkilä,"Työkeskus, Puuosasto",Factory
Iso-Heikkilä,Kanslerintie 6,Building
Iso-Heikkilä,A's home,Hotel Bar
Iso-Heikkilä,Ukk Sali,Pool Hall
Iso-Heikkilä,grand mama dom,Residential Building (Apartment / Condo)
Iso-Heikkilä,Jasmin's Bed,Residential Building (Apartment / Condo)
Iso-Heikkilä,Malawwyāh,Spiritual Center
Iso-Heikkilä,Turku Cube,Building
Iso-Heikkilä,satan666,Stables
Iso-Heikkilä,mummila 👵,Assisted Living
Iso-Heikkilä,Pesuainetukku Puhdas Pinta,Office
Iso-Heikkilä,Pro Detailing,Automotive Shop
Iso-Heikkilä,ProVan,Automotive Shop
Iso-Heikkilä,suvin ja jassun kokkinurkkaus🍰,Gaming Cafe
Iso-Heikkilä,ronjan ryyppyluola,Nightclub
Iso-Heikkilä,laurin lukaali 💂,Residential Building (Apartment / Condo)
Iso-Heikkilä,suvin vihreäjumppapallo,Nightclub
Iso-Heikkilä,TVV Marine Lightning,Warehouse Store
Iso-Heikkilä,Rusiksen halli,Warehouse
Iso-Heikkilä,Rudus Oy,Factory
Iso-Heikkilä,Jankan ja Jompen kotikolo,Buddhist Temple
Iso-Heikkilä,Mumman luksushotelli ⭐️,Building
Iso-Heikkilä,Keskellä ei mitään,Rest Area
Iso-Heikkilä,hiusputiikki henna,Salon / Barbershop
Iso-Heikkilä,soffen ralliford 🚙💨,Rental Car Location
Iso-Heikkilä,Pysäkki 580,Bus Stop
Iso-Heikkilä,partsi 🍆,Fishing Spot
Iso-Heikkilä,linnankatu 14,Campaign Office
Iso-Heikkilä,mordor eli rikunluola,Fishing Spot
Iso-Heikkilä,Tyrmä,Gym / Fitness Center
Iso-Heikkilä,Pysäkki 751,Bus Stop
Iso-Heikkilä,Mamman👵❤️,Assisted Living
Iso-Heikkilä,mammala 💗,Assisted Living
Iso-Heikkilä,nitku🏎,Club House
Iso-Heikkilä,jimin kattohuoneisto,Club House
Iso-Heikkilä,Maahis,Historic Site
Iso-Heikkilä,Cube,Skate Park
Iso-Heikkilä,VR Turku,Train Station
Koroinen,Cáfe Koroinen / Lumo-keskus,Café
Koroinen,Kahvila Koroinen,Café
Koroinen,Taidemuseon Puisto,Park
Koroinen,Koroistenniemi,Scenic Lookout
Koroinen,P-Louhi,Parking
Koroinen,Finnkino Kinopalatsi,Multiplex
Koroinen,Pro Autopalvelut Oy,Auto Garage
Koroinen,Yo-kylän koripallokenttä,College Basketball Court
Koroinen,LUMO-keskus,General College & University
Koroinen,Koroisten Luomupuoti,Market
Koroinen,Butik kynsistudio,Nail Salon
Koroinen,päiväkoti villasukka,Housing Development
Koroinen,Vähäjoensilta,Bridge
Koroinen,laukun bilemesta🍼,Gay Bar
Koroinen,6 Saven Joki,Trail
Koroinen,Vilin huvila,Palace
Koroinen,Pohjavirta Finland Oy,Sporting Goods Shop
Koroinen,Kohinapaviljonki Koroinen,General Entertainment
Koroinen,siirintie,Dog Run
Koroinen,Kulttuuripolun kuntosali,Gym
Koroinen,lauran sänky 😴,Assisted Living
Koroinen,Puro,Lake
Koroinen,Kirkkoaukion iltapäiväkerho,Playground
Koroinen,keskellä ei mitään 👋,Tree
Koroinen,Ahmadin Mekka,Cultural Center
Koroinen,Vissii Joku Urheilujuttu,Moving Target
Koroinen,Bussipysäkki 178,Bus Station
Koroinen,koroisten puistopunttis,Sports Club
Koroinen,5 Piispanistuimen Koroinen,Trail
Koroinen,Koroisten Risti,Church
Koroinen,Alfan judosali,Prison
Koroinen,Yo-kylän Koirapuisto,Dog Run
Ispoinen,Linnunpääntie 2,Assisted Living
Ispoinen,ispon välikkö,Event Space
Ispoinen,uittamo hoodz,Tree
Ispoinen,Linnunpääntie,Lighthouse
Ispoinen,Eelin palatsi ✌🏻️,Nightclub
Ispoinen,Rosanpuiston Leikkipaikka,Park
Ispoinen,Kuljetus- ja lähettipalvelu A.Tuomola,Building
Ispoinen,Ilpoisten koirapolut,Dog Run
Ispoinen,Luolavuoren pururata,Trail
Ispoinen,Katariinalaakson metsä,Forest
Ispoinen,uittamos hoods,Bath House
Ispoinen,inkan kiitomobiili,Beer Garden
Ispoinen,poian siittiö pesula,Gay Bar
Ispoinen,Janinan suihku,Nightclub
Ispoinen,Päiväkoti Sinikello,School
Ispoinen,juulian kylpyamme,Pool
Ispoinen,Jonne Kauppa,Food & Drink Shop
Ispoinen,Pysäkki 597,Bus Station
Ispoinen,isovanhempien kämppä🔥,Arcade
Ispoinen,f2,Restaurant
Ispoinen,Spa De Korkeila,Spa
Ispoinen,Parturi-Kampaamo Korkeila,Salon / Barbershop
Ispoinen,Korkeiloiden solariumpiha🌞,Plaza
Ispoinen,uittamon lenkkipolut,Athletics & Sports
Ispoinen,Greta's bed💕,Assisted Living
Ispoinen,Sauna de Korkeila,Sauna / Steam Room
Ispoinen,aaron automobiili,Transportation Service
Ispoinen,uittamon metsät,Other Great Outdoors
Ispoinen,mummula,Assisted Living
Pitkämäki,hese 🍟🍔❤️,American Restaurant
Pitkämäki,Suikkilan pururata,Trail
Pitkämäki,Hesburger,Fast Food Restaurant
Pitkämäki,Lounais-Suomen Poliisilaitos,Police Station
Pitkämäki,Isotalonpolku,Housing Development
Pitkämäki,pitkämäen hämäräkujat,Trail
Pitkämäki,luolavuoren vanhainkoti,Building
Pitkämäki,Tikitak,Burger Joint
Pitkämäki,Leikkipleissi,Playground
Pitkämäki,bae's,Assisted Living
Pitkämäki,Viherlassila,Flower Shop
Pitkämäki,Asennuspalvelu Kari Ollikainen,Office
Pitkämäki,atten buffaloplace,Whisky Bar
Pitkämäki,isin moottoripyörä,Bike Rental / Bike Share
Pitkämäki,Päätepysäkki 6,Bus Line
Pitkämäki,Kallen sänky,Lounge
Pitkämäki,saara's parking area,Rental Car Location
Pitkämäki,pysäkki 485,Bus Stop
Pitkämäki,Piha,Garden
Pitkämäki,liinun kuntosali 😈,Gym / Fitness Center
Pitkämäki,paulan glögijuoppola,Coffee Shop
Pitkämäki,atten bileluola,Nightclub
Pitkämäki,liinun keittiö 🍟,Fast Food Restaurant
Pitkämäki,Juhannuskukkulan Katto,College Gym
Pitkämäki,Dad's race car🏎,Moving Target
Pitkämäki,Malka R19 🚀,Moving Target
Pitkämäki,venlan iskän auto🚙,Rental Car Location
Pitkämäki,paulan sademetsä,Field
Pitkämäki,ansan jopon tarakka,Bike Rental / Bike Share
Pitkämäki,Atten Ps4 nurkka,Stadium
Pitkämäki,Chilling Place parking lot,TV Station
Pitkämäki,Sirpan etätyöpiste,Office
Pitkämäki,pysäkki 906,Bus Stop
Pitkämäki,eino  auto,Music Venue
Pitkämäki,kylpyhuone 🚿,Dog Run
Pitkämäki,roopen bilekeskus🎉🎉,Nightclub
Pitkämäki,jontun mersu,Rental Car Location
Pitkämäki,hamarusten takapiha,Garden
Pitkämäki,Långbacka,Botanical Garden
Pitkämäki,Atte's casino,Beer Garden
Pitkämäki,Karhula,Exhibit
Pitkämäki,keskellä puskaa🌾,Field
Pitkämäki,miittipaikka,Other Great Outdoors
Pitkämäki,Hamarusten piha,Dog Run
Pitkämäki,Tepp Man OY,Accessories Store
Pitkämäki,pelko,Other Great Outdoors
Pitkämäki,Rappukäytävä,Other Great Outdoors
Pitkämäki,Betonilaatta Oy,Hardware Store
Pitkämäki,Hesburger,Fast Food Restaurant
Särkilahti,Aaholli Osuuskunta,Office
Särkilahti,Ekomatti Oy,Miscellaneous Shop
Särkilahti,nolvien vene,Boat or Ferry
Särkilahti,Turbovolkkari🚙,Moving Target
Särkilahti,Hirvensalon takametsät,Airport
Särkilahti,pellinkäinen🌾☄,Field
Särkilahti,Kankaanpäoden villa 2,Bowling Alley
Särkilahti,Kallio,Beer Garden
Särkilahti,Maanpään suora,Racetrack
Särkilahti,Särkilahti,Scenic Lookout
Särkilahti,Antinlenkki,Trail
Särkilahti,pysäkki 324,Bus Stop
Särkilahti,Isin Saab,Rental Car Location
Särkilahti,Koli Studios,Recording Studio
Särkilahti,mamman ruokapöytä,Housing Development
Särkilahti,Aletta's fluffy mat,Lounge
Särkilahti,Aletta's living room,Movie Theater
Särkilahti,irpan bänäänimesta🎉,Nightclub
Särkilahti,Kimin tarinatuokio,Night Market
Särkilahti,ilveksen himbb,Beach Bar
Särkilahti,nonan suihku🚿,Gay Bar
Särkilahti,ruokapöytä,Trailer Park
Särkilahti,irpan ja jadnan neliapilaluola🍀,Salad Place
Särkilahti,kivikarinkuja,Trail
Särkilahti,juden koti,BBQ Joint
Särkilahti,idan masterchef iltapala,Tea Room
Särkilahti,huoramesta,Strip Club
Särkilahti,syön pastaa,Italian Restaurant
Särkilahti,koton,Café
Särkilahti,Nonan tunnelmaluola✨,Tea Room
Särkilahti,kk's place,Lounge
Särkilahti,Universumi,Karaoke Bar
Särkilahti,jänessaaren pellot,Field
Särkilahti,iippaleenas,Strip Club
Särkilahti,Hirvensalon luontopolku,Trail
Särkilahti,Pysäkki 401,Bus Stop
Särkilahti,aamupalalla,Breakfast Spot
Särkilahti,pysäkki 1429,Bus Stop
Särkilahti,Koiran kanssa lenkillä,Dog Run
Särkilahti,Pysäkki 1484,Bus Stop
Särkilahti,tildan priva kyyti 🔜🏫,Rental Car Location
Särkilahti,bussipysäkki,Bus Stop
Särkilahti,charken keittiö,Breakfast Spot
Särkilahti,Kullanpersepuistikko,Dog Run
Särkilahti,pappan auto🚙,Rental Car Location
Särkilahti,Aletan keittiö,Australian Restaurant
Särkilahti,iriksen kova tuoli,College Classroom
Särkilahti,Illoistentie,Other Great Outdoors
Särkilahti,Särkilahden hevosaitaus,Farm
Särkilahti,Kitulan huterat telineet,Mountain
Särkilahti,Is pusikot,Other Great Outdoors
Särkilahti,Båthamnsv,Botanical Garden
Särkilahti,jadnan pyörän kyyti,Bike Rental / Bike Share
Särkilahti,Raksa,Field
Särkilahti,1,Other Great Outdoors
Särkilahti,Takasuora,Other Great Outdoors
Särkilahti,hsalon koriskenttä,Basketball Court
Särkilahti,Hsalon Street Kenttä,Sports Club
Särkilahti,montinien tramppa,Garden
Särkilahti,Peruspaikka,Field
Särkilahti,Joku metsä,Forest
Särkilahti,Metsä🍃,Forest
Särkilahti,Nona's,Building
Särkilahti,Mummon Mökki,Building
Särkilahti,outside,Playground
Särkilahti,A's kitchen,Bakery
Särkilahti,väsyny,Hotel
Särkilahti,Taivasalla,Hot Spring
Särkilahti,empun poreallas 🌊,Spa
Särkilahti,nopein bemari,Hotel
Särkilahti,Nakinpolttosuora,Heliport
Särkilahti,Jeminan nelipyörä,Moving Target
Särkilahti,Kotosalla,Arcade
Särkilahti,2,Tree
Särkilahti,Fringers,Roller Rink
Särkilahti,A's sauna,Sauna / Steam Room
Särkilahti,Isän auto,Travel Lounge
Särkilahti,Pysäkki 1726 Vanha Pikisaarentie,Bus Station
Särkilahti,montinien vessa,Public Bathroom
Särkilahti,Toijainen,Forest
Särkilahti,Villa Aadeli,Lounge
Särkilahti,Hirvensalon koirapuisto,Dog Run
Särkilahti,Ruissalo,Pool
Särkilahti,Mummin Mökki🙉,Club House
Särkilahti,charken panoluola,Strip Club
Särkilahti,charkken valtakunta,Casino
Särkilahti,Aaltosen Pornoluola,Night Market
Särkilahti,Nean peti❤️,Memorial Site
Särkilahti,Norrgårdinkujan työmaa,Building
Särkilahti,mamman herkkukeittiö 💗,Bakery
Särkilahti,iriksen pörrömatto,Salsa Club
Artukainen,Turun Messukeskus,Convention Center
Artukainen,Turun Messukeskus D-Halli,Event Space
Artukainen,Turun Sanomat - Lehtitalo,Office
Artukainen,isin volkkari,Moving Target
Artukainen,Aulakahvion pikaruokapiste,Fast Food Restaurant
Artukainen,Jeren Vauhtiauto,Cable Car
Artukainen,Tapahtumaravintola,Restaurant
Artukainen,Pysäkki 740,Bus Stop
Artukainen,Artukaisten Ratsastuskoulu,Stables
Artukainen,Kartanontallin maneesi✨,Palace
Artukainen,Hotelli Artukaisten Paviljonki,Hotel
Artukainen,Lunskin luukku ✌🏼️,Residential Building (Apartment / Condo)
Artukainen,Messuravintola,Restaurant
Artukainen,Messukeskuksen Parkkipaikka,Parking
Artukainen,Artukaisten Malja-kenttä,Stables
Artukainen,Jukka Rintala Design messupaja,Art Gallery
Artukainen,Nicken Sihisevä Yaris,Moving Target
Artukainen,Lumikonkadun Pysäkki,Bus Stop
Artukainen,Pernod Ricard Finland,Factory
Artukainen,DS Smith Packaging,Factory
Artukainen,Artukainen Camping,Campground
Artukainen,pysäkki 742,Bus Stop
Artukainen,muhis 2 kämppä,Assisted Living
Artukainen,Katjan kynsistudio💅🏼,Building
Artukainen,Kartanon Talli,Stables
Artukainen,Artukaisten ratsastuskeskus,Stables
Artukainen,Olivian Äss,Strip Club
Artukainen,ankin kauhukartano,Residential Building (Apartment / Condo)
Artukainen,reean  kuppikartano,Club House
Artukainen,Taxi,Moving Target
Artukainen,Heikkilän Sotilaskotiteltta,Soup Place
Artukainen,Cafe La Fiore,Café
Artukainen,Hieno Ilma,Other Great Outdoors
Artukainen,siskon majatalo,Assisted Living
Artukainen,"""Sauna-kaffila""",Cafeteria
Artukainen,länsikaaren pysäkki,Bus Stop
Artukainen,kasperin auto,College Auditorium
Artukainen,Haikonen's kitchen💁,Residential Building (Apartment / Condo)
Artukainen,Lumikonkatu,Assisted Living
Artukainen,pysäkki 520,Bus Stop
Artukainen,iskän auto,Moving Target
Artukainen,serkkujen koti,Residential Building (Apartment / Condo)
Artukainen,Tonzan poikamiesboxi,Nightclub
Artukainen,SmartPOST K-Team päivät,Post Office
Artukainen,keltane sämpylä,Karaoke Bar
Artukainen,Pysäkki 1523,Bus Stop
Artukainen,Cafe Bella,Café
Artukainen,ml pedant,Farm
Artukainen,Turun Messut,Convention Center
Artukainen,bordelli,Non-Profit
Artukainen,Artukaisten Kartano,Professional & Other Places
Artukainen,bussipysäkki 677,Bus Stop
Artukainen,pinjan pikku peti👙🔞,Fishing Spot
Artukainen,Mollyn talli 😈,Stables
Artukainen,Kartanon ratsastuskenttä 🏇,Stables
Artukainen,Turun SM-Rallin Kilpailukeskus,Office
Artukainen,Pinjan hoodeil,Building
Artukainen,Viivin huudit,Assisted Living
Artukainen,Lumppis 👑,Assisted Living
Artukainen,artukaisten maneesi,Stables
Artukainen,jossai metsäs,Forest
Artukainen,Aitio 26,Hockey Arena
Artukainen,Pysäkki 678 Hållplats,Bus Station
Artukainen,kallen ambulanssi,Moving Target
Artukainen,temen vauhtiauto,Taxi Stand
Artukainen,venlan isän auto,Moving Target
Artukainen,Aada Lava,Country Dance Club
Artukainen,iskän auto 💋,Transportation Service
Artukainen,iskän mersu💗,Car Wash
Artukainen,mummin koti ❤️,Museum
Artukainen,Nordea aitio,Hockey Arena
Artukainen,RalliVolvo,Nudist Beach
Artukainen,artukaisten saunatupa,Sauna / Steam Room
Artukainen,Veikon Satula,Travel Lounge
Artukainen,Amica TS-Yhtymä,Corporate Cafeteria
Artukainen,Turun Sanomat - Talvipuutarha,Event Space
Artukainen,Wanhan Wallankumous,Antique Shop
Artukainen,Turun tekstiilihuolto,Factory
Artukainen,Jonaksen Eroottinen Hieromo,Massage Studio
Peltola,Mimmin Kirppis,Flea Market
Peltola,"Kuntec, Ilpoistentie",Garden Center
Peltola,Mimmin tilaussauna,Nightclub
Peltola,caribian valtameri,Nightclub
Peltola,Peltolan kenttä,Soccer Field
Peltola,mystinen kenttä ⚽️,Soccer Field
Peltola,Luokka 4125,Building
Peltola,Kuhilaspuiston leikkipaikka,Playground
Peltola,Koutsin Terrace,Beer Garden
Peltola,nuutin kämpäl,Housing Development
Peltola,Paintshop,Factory
Peltola,luokka 3123b,Library
Peltola,Luolavuori-Koivulan kotihoito,Medical Center
Peltola,Kolmosen sohva,Nursery School
Peltola,ruotsinluokka,School
Peltola,ilpoistentie 1,Factory
Peltola,K-supermarket,Supermarket
Peltola,Tyä miähen toimistotila 📝,Tech Startup
Peltola,YliHoten luokanvalvojantunti,College Classroom
Peltola,hoitoluokka 2117,School
Peltola,luokka 1062,School
Peltola,reeeniii👸,College Gym
Peltola,Änäri,Board Shop
Peltola,aleksin koti❤️,Assisted Living
Peltola,Toros Hous,Assisted Living
Peltola,aurakadun kenttä,Playground
Peltola,Neljännen kerroksen rasitus askelmat💦,Building
Peltola,Kivisen viihdekeskus,Multiplex
Peltola,Tepparin Röökipaikka,Other Great Outdoors
Peltola,Teemu's bed,Bed & Breakfast
Peltola,Amiksen Katto,Other Nightlife
Peltola,Tepcomp Oy,Factory
Peltola,Kulttuuria 👐😏,College Classroom
Peltola,Woima Hosting Oy,Office
Peltola,Os.2 taukotila,Cemetery
Peltola,mummin ja pappan koti👴🏼👵🏼,Bakery
Peltola,atosuon ämpäri,Aquarium
Peltola,Oskun sauna,Sauna / Steam Room
III,Urheilupuiston Yläkenttä,Soccer Field
III,Urheilupuisto Beach Volley,Volleyball Court
III,Luostarivuori,Volcano
III,Amica-ravintola Teknika,College Cafeteria
III,Urheilupuiston lentopallokenttä,Volleyball Court
III,Biologinen museo,Science Museum
III,BEEMRAY,Office
III,"Turun AMK, Sepänkatu",University
III,Puistelo,Park
III,Övre Plan ÅIFK,Soccer Field
III,Kirjasto,Library
III,Paavo Nurmen Puisto,Park
III,Perhetalo Heideken,Non-Profit
III,Opintotoimisto Turun AMK,University
III,Yläkenttä,Field
III,Naisten Kuntovitonen,Athletics & Sports
III,B22 AMK,College Classroom
III,AMK B21,College Auditorium
III,C17 AMK,College Classroom
III,L-siiven kaappikäytävä,General College & University
III,Amk C01,College Classroom
III,Sisu's,Club House
III,Yläkentän pukkari,Field
III,Turun Gynekologikeskus,Doctor's Office
III,Fysiikan laboratorio,College Lab
III,TROK ry toimisto,College Classroom
III,Turun Yläkenttä,Soccer Field
III,Urheilupuiston kuntosali,Park
III,L 304 AMK,College Classroom
III,urheilupuiston kuntolaitteet,Soccer Field
III,Casanovan kartano,Residential Building (Apartment / Condo)
III,näsin hima,Residential Building (Apartment / Condo)
III,miron yläsänky 😜😴,Residential Building (Apartment / Condo)
III,Café Wanha Kellari,Café
III,Puupaja AMK,College Lab
III,Luokka 139,High School
III,A24 Amk,College Classroom
III,yläenttä,Soccer Field
III,TIO:n grillibileet,Other Great Outdoors
III,vireä vanhus jumppa,Soccer Field
III,Taideakatemian sirkustila,Gym / Fitness Center
III,mumminjapappankoti❤️,Bakery
III,saralla,Assisted Living
III,puriksen käytävät👀,Building
III,Sisbes,Cruise Ship
III,Opiskelijayhdistys Trade ry - Seppiksen toimisto,Fraternity House
III,Mia-Marian Tunturi,Bike Rental / Bike Share
III,Turunmaan sairaala huone 4,Hospital
III,L118,College Classroom
III,Silent Study Room,College Residence Hall
III,Jaanan uskonto,High School
III,Luokka Ilmo,College Classroom
III,Amk A33,College Classroom
III,C22 AMK,College Classroom
III,2. kerroksen C-aula,College Engineering Building
III,Hiljainen lukutila,College Classroom
III,Amk C02,College Classroom
III,TUO Sepänkadun Kirjakauppa,College Bookstore
III,CFO Y's office,Office
III,S201,College Classroom
III,A13,College Classroom
III,Myyntilaboratorio,College Classroom
III,Neitsyiden Temppeli,Temple
III,L104,University
III,Svenska i arbetslivet,College Classroom
III,C03 Amk,College Classroom
III,C14,University
III,A11 Amk,College Classroom
III,A21 AMK,College Classroom
III,L323,University
III,C36 Temujen Kotiluola,College Classroom
III,Amk B20,College Auditorium
III,Amk Monitori,College Auditorium
III,3. kerroksen C-aula,College Engineering Building
III,C35,College Classroom
III,C24,University
III,Perhekeskus Marakatti,Meeting Room
III,AMK C12,College Classroom
III,a30,College Classroom
III,L229,College Classroom
III,TSYK Linkki,Bus Line
III,AMK Tupakkakatos - Takapiha,University
III,A34 Amk,College Classroom
III,Johannan Matikkahelvetti,Town Hall
III,Kutuluola,College Cafeteria
III,Anun historia,High School
III,Amk A35,College Classroom
III,C23 AMK,College Classroom
III,C27 AMK,College Classroom
III,c04,College Classroom
III,Metallilaboratorio,College Lab
III,AMK c34,College Classroom
III,norssi lounge,College Residence Hall
III,Päihde Puska,Vineyard
III,C31,College Classroom
III,L322,College Classroom
III,C21,College Classroom
III,C20 Amk,College Classroom
III,L138,University
Luolavuori,Luolavuoren Golfhalli,Golf Driving Range
Luolavuori,Luolavuoren koulu,Elementary School
Luolavuori,Ruokala,College Cafeteria
Luolavuori,Limos,Restaurant
Luolavuori,Luolavuoren lenkkipolku,Other Great Outdoors
