,Name,Address,City,PostalCode,Country,Code
78,Fan Boy Three,25 Hilton St,Manchester,M1 1EL,England,GB
79,Digi Diner,59 High Street,Margate,CT9 1DX,England,GB
80,Fire and Dice,39-41 Borough road,Middlesbrough ,TS1 4AF,England,GB
81,Geek Retreat Milton Keynes,"207 Queensway, Bletchley",Milton Keynes,MK2 2EE,England,GB
82,Players Paradice,18-20 Winchester Circle,Milton Keynes ,MK10 0BA,England,GB
83,Meeple Perk,89 Clayton Street,Newcastle upon Tyne,NE1 5PZ,England,GB
84,Manaflux,Unit 19A  High St The Roebuck Center,Newcastle-under-Lyme,ST5 1SW,England,GB
85,Geek Retreat Newcastle,38 Grainger Street,Newcastle-upon-Tyne,NE1 5JG,England,GB
86,Board Beans,79 Witton Street,Northwich,CW9 5DW,England,GB
87,Slice and Dice (monthly pop up),7-9 Fye Bridge Street,Norwich,NR3 1LJ,England,GB
88,Zatu Board Game Café,Bowthorpe Shopping Centre,Norwich,NR5 9HA,England,GB
89,The Games Table,"86 Magdalen St, Norwich ",Norwich ,NR2 1EL,England,GB
90,Geek Retreat Nottingham,7 Flying Horse Walk,Nottingham,NG1 2HN,England,GB
91,Ludorati Café,72 Maid Marian Way,Nottingham,NG1 6BJ,England,GB
92,The Dice Cup,68-70 Mansfield Rd,Nottingham,NG1 3GY,England,GB
93,Twist,43 Mayflower Street,Plymouth,PL1 1QL,England,GB
94,Dice,"149 Albert Rd, Portsmouth, Southsea PO4 0JW",Portsmouth,PO4 0JW,England,GB
95,The Library Pot,86 Kew Rd,Richmond,TW9 2PQ,England,GB
96,Playopolis,2 Star Hill,Rochester,ME1 1UX,England,GB
97,TAU Gaming Ltd,36 Victoria Road,Scarborough,YO11 1SD,England,GB
98,Ready Steady Roll,"Ivy Lodge, A6 Rushden Road",Sharnbrook,MK44 1ND,England,GB
99,The Treehouse Board Game Cafe,41 Boston Street,Sheffield,S2 4QF,England,GB
100,Nerdy Coffee Co.,49 Mardol,Shrewsbury,SY1 1PP,England,GB
101,Board in the City CIC,38-40 Onslow Rd,Southampton,SO14 0JG,England,GB
102,Loading Bar Dalston,97 Stoke Newington Rd,Stoke Newington,N16 8BX,England,GB
103,d20 Board Game Cafe,87 Queens Road,Watford,WD17 2QN,England,GB
104,Comics Games & Coffee,"Unit 36, Brooks Shopping Centre",Winchester,SO23 8QY,England,GB
105,Geek Retreat Wirral,"2 Market Street, Hoylake",Wirral,CH47 3BD,England,GB
106,Arcane,129 Salop street,Wolverhampton,WV3 0rx,England,GB
107,RanSacked Board Game Lounge and Escape Rooms,24-26 Portland Road ,Worthing,BN11 1QN,England,GB
108,Random Encounter,9 Gillygate,York,YO31 7EA,England,GB
109,Cafe Boardgame,Eerikinkatu 14,Helsinki,00100,Finland,FI
110,Lautapelikahvila Taverna,Rautatienkatu 10,Tampere,33100,Finland,FI
111,PlatÔbar Bar à Jeux à Aix en Provence,40 rue des Tanneurs,Aix-en-Provence,13100,France,FR
112,Cup n'dice,22 rue Sainte-Marie,Angouleme,16000,France,FR
113,Le Gros Corbeau,2 Place du Palet,Angouleme,16000,France,FR
114,Au Café des Meeples Avignon,160 Rue Carreterie,Avignon,84000,France,FR
115,El Joko,78 Avenue Maréchal Soult,Bayonne,64100,France,FR
116,Jeux Barjo,12 Rue Saint-James,Bordeaux,33000,France,FR
117,La Muse Café,10 Rue Brascassat,Bordeaux,33800,France,FR
118,La Case Depart,23 Quai Eugene Meslin,Caen,14000,France,FR
119,Baraka Jeux - Clermont-Ferrand,11 Rue Saint-Adjutor,Clermont-Ferrand,63000,France,FR
120,La Tete dans le Pion,30 Rue des Petits gras,Clermont-Ferrand,63000,France,FR
121,"L'Aliane, Café Boutiquo-Jeux",13 Rue de la Cigogne,Colmar,68000,France,FR
122,Archi-Jeux,10 rue Archinard,Crest,26400,France,FR
123,Le Barjoc,"03, rue du Docteur Honnorat",Digne-les-Bains,04000,France,FR
124,Le De Masque,55 Rue Monge,Dijon,21000,France,FR
125,K fee des jeux,1 quai Stephane Jay,Grenoble,38000,France,FR
126,"Le Warp, Taverne Ludique",Rue Stephane Guilleme,La Roche sur Yon,85000,France,FR
127,L'Antre Jeux,3 Rue Jules Guesde,Limoges,87000,France,FR
128,Barnade,49 rue de l'abondance 69003 Lyon,Lyon,69003,France,FR
129,"Moi j'm'en fous, je triche",8 rue René Leynaud,Lyon,69001,France,FR
130,Baraka Jeux - Marseille,21 Cours Julien,Marseille,13006,France,FR
131,Auberge des VoyaJoueurs,Rue du chaperon rouge,Monteneuf,56380,France,FR
132,Baraka Jeux - Montpellier,Allée Ulysse,Montpellier,34000,France,FR
133,Game Taverne,22 Rue de Candolle,Montpellier,34000,France,FR
134,Les Castors,12 rue des trésoriers de la bourse,Montpellier,34000,France,FR
135,Game of trolls,8 rue de Paris,Moulins,03000,France,FR
136,La Feinte de l'Ours,2 avenue du General Leclerc,Nancy,54000,France,FR
137,La Fabrik a Jeux,1bis Quai Turenne,Nantes,44000,France,FR
138,Sur un plateau - Bar à jeux,36 Rue Léon Jamin,Nantes,44000,France,FR
139,Bonne Pioche,92 Quai du Châtelet,Orléans,45000,France,FR
140,Aux Dés Calés,181 Rue Legendre,Paris,75017,France,FR
141,Café Meisia,84 Rue René Boulanger,Paris,75010,France,FR
142,Café Oya,25 rue de la Reine Blanche,Paris,75013,France,FR
143,Le Dernier Bar avant la Fin du Monde,19 Avenue Victoria,Paris,75001,France,FR
144,Le Nid Cocon Ludique,"227, rue Saint-Martin",Paris,75003,France,FR
