,Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
3746,The Treehouse Board Game Cafe,Sheffield,Oisoi Gathering,Asian Restaurant,1
3747,The Treehouse Board Game Cafe,Sheffield,Medow Hall,Building,1
3748,The Treehouse Board Game Cafe,Sheffield,Blushes,Bridal Shop,1
3749,The Treehouse Board Game Cafe,Sheffield,Yama Sushi,Sushi Restaurant,1
3750,The Treehouse Board Game Cafe,Sheffield,Fanoush,Falafel Restaurant,1
3751,The Treehouse Board Game Cafe,Sheffield,Cafe Euro,Coffee Shop,1
3752,The Treehouse Board Game Cafe,Sheffield,Subway,Sandwich Place,1
3753,The Treehouse Board Game Cafe,Sheffield,Breeze Sheesha Lounge,Hookah Bar,1
3754,The Treehouse Board Game Cafe,Sheffield,Tiny Shop,Bubble Tea Shop,1
3755,The Treehouse Board Game Cafe,Sheffield,蝎子王,Chinese Restaurant,1
3756,The Treehouse Board Game Cafe,Sheffield,Baan Thai,Thai Restaurant,1
3757,The Treehouse Board Game Cafe,Sheffield,Harrison's Cameras,Camera Store,1
3758,The Treehouse Board Game Cafe,Sheffield,China Town,Chinese Restaurant,1
3759,The Treehouse Board Game Cafe,Sheffield,The Greedy Pig,Sandwich Place,1
3760,The Treehouse Board Game Cafe,Sheffield,Kurdistan Charcoal Grill,Kurdish Restaurant,1
3761,The Treehouse Board Game Cafe,Sheffield,Shell,Gas Station,1
3762,The Treehouse Board Game Cafe,Sheffield,Diddy Cool,Ice Cream Shop,1
3763,The Treehouse Board Game Cafe,Sheffield,Zeugma Iki,Turkish Restaurant,1
3764,The Treehouse Board Game Cafe,Sheffield,Taco Mex,Burrito Place,1
3765,The Treehouse Board Game Cafe,Sheffield,01 Napier Apartments,Residential Building (Apartment / Condo),1
3766,The Treehouse Board Game Cafe,Sheffield,The Albion,Pub,1
3767,The Treehouse Board Game Cafe,Sheffield,Tabby Teas,Pet Café,1
3768,The Treehouse Board Game Cafe,Sheffield,Greggs,Bakery,1
3769,The Treehouse Board Game Cafe,Sheffield,Chino's,Fast Food Restaurant,1
3770,The Treehouse Board Game Cafe,Sheffield,The Potato Oven,Sandwich Place,1
3771,The Treehouse Board Game Cafe,Sheffield,胖包子PBZ,Dim Sum Restaurant,1
3772,The Treehouse Board Game Cafe,Sheffield,The Elements,College Residence Hall,1
3773,The Treehouse Board Game Cafe,Sheffield,Bar 27,Bar,1
3774,Nerdy Coffee Co.,Shrewsbury,Avatar,Indian Restaurant,1
3775,Nerdy Coffee Co.,Shrewsbury,Paws Cafe,Café,1
3776,Nerdy Coffee Co.,Shrewsbury,Theatre Severn,Theater,1
3777,Nerdy Coffee Co.,Shrewsbury,Hickory's Smokehouse,American Restaurant,1
3778,Nerdy Coffee Co.,Shrewsbury,wilko,Hardware Store,1
3779,Nerdy Coffee Co.,Shrewsbury,The Salopian,Pub,1
3780,Nerdy Coffee Co.,Shrewsbury,Specsavers,Optical Shop,1
3781,Nerdy Coffee Co.,Shrewsbury,The Shrewsbury Hotel (Wetherspoon),Pub,1
3782,Nerdy Coffee Co.,Shrewsbury,The Giant Party Shop,Clothing Store,1
3783,Nerdy Coffee Co.,Shrewsbury,Lakeland,Kitchen Supply Store,1
3784,Nerdy Coffee Co.,Shrewsbury,British Red Cross,Thrift / Vintage Store,1
3785,Nerdy Coffee Co.,Shrewsbury,Bakehouse 2.0,Bakery,1
3786,Nerdy Coffee Co.,Shrewsbury,Cafe Saffron,Indian Restaurant,1
3787,Nerdy Coffee Co.,Shrewsbury,The Pour House,Cocktail Bar,1
3788,Nerdy Coffee Co.,Shrewsbury,Walton,Shoe Repair,1
3789,Nerdy Coffee Co.,Shrewsbury,The Lighting Shop,Hardware Store,1
3790,Nerdy Coffee Co.,Shrewsbury,Old Smokey BBQ,BBQ Joint,1
3791,Nerdy Coffee Co.,Shrewsbury,Wimpy,Fast Food Restaurant,1
3792,Nerdy Coffee Co.,Shrewsbury,Darwin Memorial Sculpture,Sculpture Garden,1
3793,Nerdy Coffee Co.,Shrewsbury,Pay And Display Car Park,Parking,1
3794,Nerdy Coffee Co.,Shrewsbury,J. A. Woodroffe (Design & Repair Studio),Design Studio,1
3795,Nerdy Coffee Co.,Shrewsbury,Mardol,Residential Building (Apartment / Condo),1
3796,Nerdy Coffee Co.,Shrewsbury,Bridge Street Car Park,Parking,1
3797,Nerdy Coffee Co.,Shrewsbury,Sabrina River Boat,Boat or Ferry,1
3798,Nerdy Coffee Co.,Shrewsbury,The Riverbank,Italian Restaurant,1
3799,Nerdy Coffee Co.,Shrewsbury,Severn Hospice Charity Shop,Thrift / Vintage Store,1
3800,Nerdy Coffee Co.,Shrewsbury,Timpson,Shoe Repair,1
3801,Nerdy Coffee Co.,Shrewsbury,Jessops,Camera Store,1
3802,Nerdy Coffee Co.,Shrewsbury,Alley Barbers,Salon / Barbershop,1
3803,Nerdy Coffee Co.,Shrewsbury,J. A. Woodroffe,Jewelry Store,1
3804,Nerdy Coffee Co.,Shrewsbury,Music Bros.,Music Store,1
3805,Nerdy Coffee Co.,Shrewsbury,Albert's Shed,Music Venue,1
3806,Nerdy Coffee Co.,Shrewsbury,KFC,Fast Food Restaurant,1
3807,Nerdy Coffee Co.,Shrewsbury,Taste,Coffee Shop,1
3808,Nerdy Coffee Co.,Shrewsbury,La Dolce Vita,Italian Restaurant,1
3809,Nerdy Coffee Co.,Shrewsbury,The Warehouse,Pub,1
3810,Nerdy Coffee Co.,Shrewsbury,Cotswold Outdoor,Outdoor Supply Store,1
3811,Nerdy Coffee Co.,Shrewsbury,Metropolitan House,Residential Building (Apartment / Condo),1
3812,Nerdy Coffee Co.,Shrewsbury,Istanbul,Turkish Restaurant,1
3813,Board in the City CIC,Southampton,Suburbia,Nightclub,1
3814,Board in the City CIC,Southampton,Newtown Health Centre,Doctor's Office,1
3815,Board in the City CIC,Southampton,Royal South Hants Hospital,Hospital,1
3816,Board in the City CIC,Southampton,Denzil Avenue,Bus Stop,1
3817,Board in the City CIC,Southampton,Minor Injuries Unit,Hospital,1
3818,Board in the City CIC,Southampton,Manzil Tandoori,Indian Restaurant,1
3819,Board in the City CIC,Southampton,Safestore Self Storage Southampton,Storage Facility,1
3820,Board in the City CIC,Southampton,Southampton Third Age Centre,Spiritual Center,1
3821,Board in the City CIC,Southampton,Bus Stop,Bus Stop,1
3822,Board in the City CIC,Southampton,Houdini's Escape Room Experience,Escape Room,1
3823,Board in the City CIC,Southampton,Liberty Point,College Residence Hall,1
3824,Board in the City CIC,Southampton,Shire Restaurant,Polish Restaurant,1
3825,Board in the City CIC,Southampton,Virgin Money,Bank,1
3826,Board in the City CIC,Southampton,Royal Southants Bus Stop,Bus Stop,1
3827,Board in the City CIC,Southampton,Orthopaedic Outpatients,Doctor's Office,1
3828,Board in the City CIC,Southampton,Newtown Youth Centre,Building,1
3829,Board in the City CIC,Southampton,nichols town surgery,Doctor's Office,1
3830,Board in the City CIC,Southampton,Law Courts,Bus Stop,1
3831,Board in the City CIC,Southampton,CGM Southampton,Corporate Amenity,1
3832,Board in the City CIC,Southampton,Antelope house,Medical Center,1
3833,Board in the City CIC,Southampton,Castle Street,Building,1
3834,Board in the City CIC,Southampton,12 College Place Chambers,Office,1
3835,Board in the City CIC,Southampton,Homeless Healthcare Team,Doctor's Office,1
3836,Board in the City CIC,Southampton,N6 Bus Stop,Bus Stop,1
3837,Board in the City CIC,Southampton,Singh Sabha Sikh Temple,Sikh Temple,1
3838,Board in the City CIC,Southampton,Liberty Point Study Room,Student Center,1
3839,Board in the City CIC,Southampton,Abels,Office,1
3840,Board in the City CIC,Southampton,"Grant Thornton UK LLP, Southampton",Office,1
3841,Board in the City CIC,Southampton,Liberty Point Gym,Gym,1
3842,Board in the City CIC,Southampton,Life Changes Counselling,Cultural Center,1
3843,Board in the City CIC,Southampton,Future Home Care,Coworking Space,1
3844,Board in the City CIC,Southampton,Super Pizza,Fried Chicken Joint,1
3845,Loading Bar Dalston,Stoke Newington,Loading Bar,Bar,1
3846,Loading Bar Dalston,Stoke Newington,The Hackney Peddler,Bike Shop,1
3847,Loading Bar Dalston,Stoke Newington,Scenario,Bar,1
3848,Loading Bar Dalston,Stoke Newington,Drury,Café,1
3849,Loading Bar Dalston,Stoke Newington,Nisa,Convenience Store,1
3850,Loading Bar Dalston,Stoke Newington,Safestore Self Storage,Storage Facility,1
3851,Loading Bar Dalston,Stoke Newington,BP,Gas Station,1
3852,Loading Bar Dalston,Stoke Newington,London Game Space,Coworking Space,1
3853,Loading Bar Dalston,Stoke Newington,Bar-A-Bar,Bar,1
3854,Loading Bar Dalston,Stoke Newington,Dirench & Co,Office,1
3855,Loading Bar Dalston,Stoke Newington,Somerford Grove Health Centre,Doctor's Office,1
3856,Loading Bar Dalston,Stoke Newington,Cafe z,Café,1
3857,Loading Bar Dalston,Stoke Newington,Princess May Primary School,Elementary School,1
3858,Loading Bar Dalston,Stoke Newington,the ark,Arts & Crafts Store,1
3859,Loading Bar Dalston,Stoke Newington,The Cauldron Magical Experience,Bar,1
3860,Loading Bar Dalston,Stoke Newington,Jackson's Art Supplies,Miscellaneous Shop,1
3861,Loading Bar Dalston,Stoke Newington,Toolstation,Hardware Store,1
3862,Loading Bar Dalston,Stoke Newington,Beyond Retro,Thrift / Vintage Store,1
3863,Loading Bar Dalston,Stoke Newington,Aziziye Mosque (Aziziye Camii),Mosque,1
3864,Loading Bar Dalston,Stoke Newington,The Chocolate Factory,Art Gallery,1
3865,Loading Bar Dalston,Stoke Newington,Stoke Newington Road/Amhurst Road Bus Stop Q,Bus Stop,1
3866,Loading Bar Dalston,Stoke Newington,Amazon Locker - Blitzen,Storage Facility,1
3867,Loading Bar Dalston,Stoke Newington,Urfa Ocakbasi,Turkish Restaurant,1
3868,Loading Bar Dalston,Stoke Newington,Vfd - Aka Vogue Fabrics,Music Venue,1
3869,Loading Bar Dalston,Stoke Newington,RaveCave,Music Venue,1
3870,Loading Bar Dalston,Stoke Newington,Olympic House,Residential Building (Apartment / Condo),1
3871,Loading Bar Dalston,Stoke Newington,Zirve Restaurant,Turkish Restaurant,1
3872,Loading Bar Dalston,Stoke Newington,MC Motors,Event Space,1
3873,Loading Bar Dalston,Stoke Newington,Glassworks,Thrift / Vintage Store,1
3874,Loading Bar Dalston,Stoke Newington,Total Refreshment Centre,Event Space,1
3875,Loading Bar Dalston,Stoke Newington,Yucatan,Pub,1
3876,Loading Bar Dalston,Stoke Newington,Vizioli's,Butcher,1
3877,Loading Bar Dalston,Stoke Newington,Sinem Hair Salon,Cosmetics Shop,1
3878,Loading Bar Dalston,Stoke Newington,Jansen's,Convention Center,1
3879,Loading Bar Dalston,Stoke Newington,Shacklewell Primary School,Elementary School,1
3880,Loading Bar Dalston,Stoke Newington,Aziziye Restaurant,Middle Eastern Restaurant,1
3881,Loading Bar Dalston,Stoke Newington,The Best Turkish Kebab,Kebab Restaurant,1
3882,d20 Board Game Cafe,Watford,Watford Junction Railway Station (WFJ),Train Station,1
3883,d20 Board Game Cafe,Watford,Watford Junction London Overground Station,Train Station,1
3884,d20 Board Game Cafe,Watford,O'Neill's,Pub,1
3885,d20 Board Game Cafe,Watford,Imperial Chinese Takeaway,Chinese Restaurant,1
3886,d20 Board Game Cafe,Watford,The Wellington Arms,Pub,1
3887,d20 Board Game Cafe,Watford,Estcourt Arms,Pub,1
3888,d20 Board Game Cafe,Watford,Ocean World,BBQ Joint,1
3889,d20 Board Game Cafe,Watford,KPMG,Office,1
3890,d20 Board Game Cafe,Watford,TJX Europe,Office,1
3891,d20 Board Game Cafe,Watford,St John's Church,Music Venue,1
3892,d20 Board Game Cafe,Watford,HCL Watford Office,Office,1
3893,d20 Board Game Cafe,Watford,Ralph Lauren HQ,Office,1
3894,d20 Board Game Cafe,Watford,Watford Market: Sushi Stall,Japanese Restaurant,1
3895,d20 Board Game Cafe,Watford,KPMG canteen,Corporate Cafeteria,1
3896,d20 Board Game Cafe,Watford,Community Housing Trust,Office,1
3897,d20 Board Game Cafe,Watford,Regus,Coworking Space,1
3898,d20 Board Game Cafe,Watford,Watford Police Station,Police Station,1
3899,d20 Board Game Cafe,Watford,Office Shoes,Shop & Service,1
3900,d20 Board Game Cafe,Watford,Pc Repair Watford is Pc Laptop and Mobile Repair,Internet Cafe,1
3901,d20 Board Game Cafe,Watford,Wetherspoon House,Office,1
3902,d20 Board Game Cafe,Watford,Cafe Rose,Café,1
3903,d20 Board Game Cafe,Watford,Bus Stop N Beechen Grove,Bus Stop,1
3904,d20 Board Game Cafe,Watford,Londis,Convenience Store,1
3905,d20 Board Game Cafe,Watford,Golden Lion,Pub,1
3906,d20 Board Game Cafe,Watford,Joe's Fish And Chips,Fish & Chips Shop,1
3907,d20 Board Game Cafe,Watford,New Hope,Thrift / Vintage Store,1
3908,d20 Board Game Cafe,Watford,Watford Employment Tribunal,Courthouse,1
3909,d20 Board Game Cafe,Watford,ACI Worldwide,Office,1
3910,d20 Board Game Cafe,Watford,Brand Performance Support BPS ASSIST,Office,1
3911,d20 Board Game Cafe,Watford,Collect+ HQ,Office,1
3912,d20 Board Game Cafe,Watford,Caffreys,Dive Bar,1
3913,d20 Board Game Cafe,Watford,Citibase,Office,1
3914,d20 Board Game Cafe,Watford,Total UK,Office,1
3915,d20 Board Game Cafe,Watford,Estcourt Tavern,Pub,1
3916,d20 Board Game Cafe,Watford,Acuity,Office,1
3917,d20 Board Game Cafe,Watford,Clarendon Road bus stop,Bus Stop,1
3918,d20 Board Game Cafe,Watford,McGinley HQ,Office,1
3919,Comics Games & Coffee,Winchester,Primark,Clothing Store,1
3920,Comics Games & Coffee,Winchester,The Brooks Shopping Centre,Shopping Mall,1
3921,Comics Games & Coffee,Winchester,hmv,Music Store,1
3922,Comics Games & Coffee,Winchester,Amazon Locker - October,Storage Facility,1
3923,Comics Games & Coffee,Winchester,The Entertainer,Toy / Game Store,1
3924,Comics Games & Coffee,Winchester,Hawkin's Bazaar - Winchester,Toy / Game Store,1
3925,Comics Games & Coffee,Winchester,Middle Brook St Market,Miscellaneous Shop,1
3926,Comics Games & Coffee,Winchester,Poundland,Discount Store,1
3927,Comics Games & Coffee,Winchester,Superdrug,Pharmacy,1
3928,Comics Games & Coffee,Winchester,Marks & Spencer,Department Store,1
3929,Comics Games & Coffee,Winchester,TK Maxx,Clothing Store,1
3930,Comics Games & Coffee,Winchester,Specsavers,Optical Shop,1
3931,Comics Games & Coffee,Winchester,Sainsbury's,Supermarket,1
3932,Comics Games & Coffee,Winchester,Costa Coffee,Coffee Shop,1
3933,Comics Games & Coffee,Winchester,Waterstones,Bookstore,1
3934,Comics Games & Coffee,Winchester,Robert Dyas,Furniture / Home Store,1
3935,Comics Games & Coffee,Winchester,Kathmandu and Diddly Do,Thrift / Vintage Store,1
3936,Comics Games & Coffee,Winchester,Three,Mobile Phone Shop,1
3937,Comics Games & Coffee,Winchester,JoJo Maman Bébé,Baby Store,1
3938,Comics Games & Coffee,Winchester,Toscanaccio,Wine Shop,1
3939,Comics Games & Coffee,Winchester,Leightons Opticians & Hearing Care,Optical Shop,1
3940,Comics Games & Coffee,Winchester,Winchester Business Centre,Coworking Space,1
3941,Comics Games & Coffee,Winchester,Miss nattie's house of cupcakes,Cupcake Shop,1
3942,Comics Games & Coffee,Winchester,Winchester Farmers Market,Farmers Market,1
3943,Comics Games & Coffee,Winchester,Greggs,Bakery,1
3944,Comics Games & Coffee,Winchester,China Town Oriental Supermarket,Grocery Store,1
3945,Comics Games & Coffee,Winchester,Iceland,Grocery Store,1
3946,Comics Games & Coffee,Winchester,WHSmith,Bookstore,1
3947,Comics Games & Coffee,Winchester,LloydsPharmacy,Pharmacy,1
3948,Comics Games & Coffee,Winchester,Projects,Thrift / Vintage Store,1
3949,Comics Games & Coffee,Winchester,McDonald's,Fast Food Restaurant,1
3950,Comics Games & Coffee,Winchester,Argos,Warehouse Store,1
3951,Comics Games & Coffee,Winchester,Hobbs,Women's Store,1
3952,Comics Games & Coffee,Winchester,Manow,Thai Restaurant,1
3953,Comics Games & Coffee,Winchester,Sukee Market Chinese & Oriental Foods,Supermarket,1
3954,Comics Games & Coffee,Winchester,Flat Whites,Food Stand,1
3955,Comics Games & Coffee,Winchester,Raw Art Gallery,Art Gallery,1
3956,Comics Games & Coffee,Winchester,Boots Opticians,Optical Shop,1
3957,Comics Games & Coffee,Winchester,Elephant,Record Shop,1
3958,Comics Games & Coffee,Winchester,Santander,Bank,1
3959,Geek Retreat Wirral,Wirral,The Yog Bar,Snack Place,1
3960,Geek Retreat Wirral,Wirral,La Bodega,Wine Bar,1
3961,Geek Retreat Wirral,Wirral,Domino's Pizza,Pizza Place,1
3962,Geek Retreat Wirral,Wirral,Hoylake Beach,Beach,1
3963,Geek Retreat Wirral,Wirral,Taio Chinese Restaurant Hoylake,Chinese Restaurant,1
3964,Geek Retreat Wirral,Wirral,Ground,Coffee Shop,1
3965,Geek Retreat Wirral,Wirral,The Black Toad,Bar,1
3966,Geek Retreat Wirral,Wirral,Monte Carlo Restaurant,Italian Restaurant,1
3967,Geek Retreat Wirral,Wirral,Jack Rabbits Slims,Bar,1
3968,Geek Retreat Wirral,Wirral,Bank Coffee Shop,Coffee Shop,1
3969,Geek Retreat Wirral,Wirral,Hoylake Railway Station (HYK),Train Station,1
3970,Geek Retreat Wirral,Wirral,Glassfire,Bar,1
3971,Geek Retreat Wirral,Wirral,the spotty blue teapot,Tea Room,1
3972,Geek Retreat Wirral,Wirral,Sainsbury's Local,Supermarket,1
3973,Geek Retreat Wirral,Wirral,The Quadrant,Cocktail Bar,1
3974,Geek Retreat Wirral,Wirral,Indira,Indian Restaurant,1
3975,Geek Retreat Wirral,Wirral,Artezan,Bar,1
3976,Geek Retreat Wirral,Wirral,Hoylake Lights (Wetherspoon),Pub,1
3977,Geek Retreat Wirral,Wirral,The Potting Shed,Arts & Crafts Store,1
3978,Geek Retreat Wirral,Wirral,Trappist House,Bar,1
3979,Geek Retreat Wirral,Wirral,Hope Church Wirral (was Hoylake Chapel),Church,1
3980,Geek Retreat Wirral,Wirral,potting shed,Arts & Crafts Store,1
3981,Geek Retreat Wirral,Wirral,Subway,Sandwich Place,1
3982,Geek Retreat Wirral,Wirral,John Percival Marine Associates,Trade School,1
3983,Geek Retreat Wirral,Wirral,Hoylake Post Office,Post Office,1
3984,Geek Retreat Wirral,Wirral,Home Bargains,Discount Store,1
3985,Geek Retreat Wirral,Wirral,Glassfire Hoylake,Cocktail Bar,1
3986,Geek Retreat Wirral,Wirral,Tides Wine Bar,Bar,1
3987,Geek Retreat Wirral,Wirral,Hoylake Ceramics,Nightclub,1
3988,Geek Retreat Wirral,Wirral,Holiday Inn Express Liverpool - Hoylake,Hotel,1
3989,Geek Retreat Wirral,Wirral,Wirral Animal Sanctuary-The Hog Centre,Animal Shelter,1
3990,Geek Retreat Wirral,Wirral,Royal Liverpool Golf Club,Golf Course,1
3991,Geek Retreat Wirral,Wirral,Hoylake Beach,Beach,1
3992,Geek Retreat Wirral,Wirral,British Red Cross,Thrift / Vintage Store,1
3993,Geek Retreat Wirral,Wirral,Hoylake Social Club,Bar,1
3994,Geek Retreat Wirral,Wirral,Kingsley Auction House,Flea Market,1
3995,Geek Retreat Wirral,Wirral,Too quirky,Café,1
3996,Geek Retreat Wirral,Wirral,Hoylake Municipal Golf Club,Golf Course,1
3997,Geek Retreat Wirral,Wirral,The Lake,Pub,1
3998,Arcane,Wolverhampton,Forbidden Planet,Comic Shop,1
3999,Arcane,Wolverhampton,The New Spice,Indian Restaurant,1
4000,Arcane,Wolverhampton,Ausra,Convenience Store,1
4001,Arcane,Wolverhampton,Favorite Chicken & Ribs,Fast Food Restaurant,1
4002,Arcane,Wolverhampton,Diamond Banquet Suite,Other Nightlife,1
4003,Arcane,Wolverhampton,Catallani's Italian Restaurant,Italian Restaurant,1
4004,Arcane,Wolverhampton,Pete's Farmhouse,Deli / Bodega,1
4005,Arcane,Wolverhampton,Beatties House of Fraser,Department Store,1
4006,Arcane,Wolverhampton,Casino 36,Casino,1
4007,Arcane,Wolverhampton,Waterstones,Bookstore,1
4008,Arcane,Wolverhampton,Three,Mobile Phone Shop,1
4009,Arcane,Wolverhampton,Peacocks,Clothing Store,1
4010,Arcane,Wolverhampton,Vinyl & Vintage,Music Store,1
4011,Arcane,Wolverhampton,Number 4 Bus Stop to (Pendeford),Bus Stop,1
4012,Arcane,Wolverhampton,Post Office Worcester Street,Convenience Store,1
4013,Arcane,Wolverhampton,Neville Garratt Centre For Independent Living,Miscellaneous Shop,1
4014,Arcane,Wolverhampton,Winks Hair & Beauty,Health & Beauty Service,1
4015,Arcane,Wolverhampton,Skalsa,Restaurant,1
4016,Arcane,Wolverhampton,The Entertainer,Toy / Game Store,1
4017,Arcane,Wolverhampton,Wulfrun Food Court,Food Court,1
4018,Arcane,Wolverhampton,French Connection,Clothing Store,1
4019,Arcane,Wolverhampton,Gorgeous,Gay Bar,1
4020,Arcane,Wolverhampton,Divine,Gay Bar,1
4021,Arcane,Wolverhampton,Bueno E Fresco,Italian Restaurant,1
4022,Arcane,Wolverhampton,Marigold Indian Restaurant,Indian Restaurant,1
4023,Arcane,Wolverhampton,Blooms Menswear & Formal Hire,Men's Store,1
4024,Arcane,Wolverhampton,Victoria Street,Other Great Outdoors,1
4025,Arcane,Wolverhampton,Bodrum Delight,Turkish Restaurant,1
4026,Arcane,Wolverhampton,Rosso E Nero,Italian Restaurant,1
4027,Arcane,Wolverhampton,The Giffard Arms,Pub,1
4028,Arcane,Wolverhampton,Victoria Street Bus Stops,Bus Stop,1
4029,Arcane,Wolverhampton,All Nations,Church,1
4030,Arcane,Wolverhampton,Shop In The Square,Gift Shop,1
4031,Arcane,Wolverhampton,Savers,Cosmetics Shop,1
4032,Arcane,Wolverhampton,Lindy Lou's Café,Coffee Shop,1
4033,Arcane,Wolverhampton,Castle Fine Art,Art Gallery,1
4034,Arcane,Wolverhampton,Rudell the jewellers,Jewelry Store,1
4035,Arcane,Wolverhampton,Krispy Kreme,Donut Shop,1
4036,Arcane,Wolverhampton,Choo Box,Shoe Store,1
4037,Arcane,Wolverhampton,Nutmeg,Mediterranean Restaurant,1
4038,RanSacked Board Game Lounge and Escape Rooms,Worthing,Cucinetta,Italian Restaurant,1
4039,RanSacked Board Game Lounge and Escape Rooms,Worthing,Small Batch Coffee Company,Coffee Shop,1
4040,RanSacked Board Game Lounge and Escape Rooms,Worthing,Buckingham Road Multi-Storey Car Park,Parking,1
4041,RanSacked Board Game Lounge and Escape Rooms,Worthing,bladez turkish barber,Salon / Barbershop,1
4042,RanSacked Board Game Lounge and Escape Rooms,Worthing,Boots,Pharmacy,1
4043,RanSacked Board Game Lounge and Escape Rooms,Worthing,Kubus Deli,Food & Drink Shop,1
4044,RanSacked Board Game Lounge and Escape Rooms,Worthing,Millets,Outdoor Supply Store,1
4045,RanSacked Board Game Lounge and Escape Rooms,Worthing,Manuka Bar & Kitchen,Cocktail Bar,1
4046,RanSacked Board Game Lounge and Escape Rooms,Worthing,Poundland,Discount Store,1
4047,RanSacked Board Game Lounge and Escape Rooms,Worthing,Barberettes Barber Shop,Salon / Barbershop,1
4048,RanSacked Board Game Lounge and Escape Rooms,Worthing,Specsavers,Optical Shop,1
4049,RanSacked Board Game Lounge and Escape Rooms,Worthing,River Island,Clothing Store,1
4050,RanSacked Board Game Lounge and Escape Rooms,Worthing,JD Sports,Sporting Goods Shop,1
4051,RanSacked Board Game Lounge and Escape Rooms,Worthing,McDonald's,Fast Food Restaurant,1
4052,RanSacked Board Game Lounge and Escape Rooms,Worthing,Costa Coffee,Coffee Shop,1
4053,RanSacked Board Game Lounge and Escape Rooms,Worthing,Amazon Locker - Beard,Storage Facility,1
4054,RanSacked Board Game Lounge and Escape Rooms,Worthing,Thorntons,Chocolate Shop,1
4055,RanSacked Board Game Lounge and Escape Rooms,Worthing,The Coffee House,Café,1
4056,RanSacked Board Game Lounge and Escape Rooms,Worthing,Marks & Spencer,Department Store,1
4057,RanSacked Board Game Lounge and Escape Rooms,Worthing,Superdrug,Pharmacy,1
4058,RanSacked Board Game Lounge and Escape Rooms,Worthing,H&M,Clothing Store,1
4059,RanSacked Board Game Lounge and Escape Rooms,Worthing,Savers,Cosmetics Shop,1
4060,RanSacked Board Game Lounge and Escape Rooms,Worthing,Game,Video Game Store,1
4061,RanSacked Board Game Lounge and Escape Rooms,Worthing,hmv,Music Store,1
4062,RanSacked Board Game Lounge and Escape Rooms,Worthing,Clarks,Shoe Store,1
4063,RanSacked Board Game Lounge and Escape Rooms,Worthing,Argos,Warehouse Store,1
4064,RanSacked Board Game Lounge and Escape Rooms,Worthing,Wildmans,Butcher,1
4065,RanSacked Board Game Lounge and Escape Rooms,Worthing,Trespass,Outdoor Supply Store,1
4066,RanSacked Board Game Lounge and Escape Rooms,Worthing,Accessorize,Accessories Store,1
4067,RanSacked Board Game Lounge and Escape Rooms,Worthing,Worthing Town Centre,Miscellaneous Shop,1
4068,RanSacked Board Game Lounge and Escape Rooms,Worthing,Three,Mobile Phone Shop,1
4069,RanSacked Board Game Lounge and Escape Rooms,Worthing,Toy Barnhaus,Toy / Game Store,1
4070,RanSacked Board Game Lounge and Escape Rooms,Worthing,Clintons,Gift Shop,1
4071,RanSacked Board Game Lounge and Escape Rooms,Worthing,3 Liverpool Gardens,Building,1
4072,RanSacked Board Game Lounge and Escape Rooms,Worthing,TK Maxx,Clothing Store,1
4073,RanSacked Board Game Lounge and Escape Rooms,Worthing,New Look,Clothing Store,1
4074,RanSacked Board Game Lounge and Escape Rooms,Worthing,Montague Street,Miscellaneous Shop,1
4075,RanSacked Board Game Lounge and Escape Rooms,Worthing,Hidden Hearing,Medical Supply Store,1
4076,RanSacked Board Game Lounge and Escape Rooms,Worthing,Poundland,Discount Store,1
4077,RanSacked Board Game Lounge and Escape Rooms,Worthing,Holland & Barrett,Health Food Store,1
4078,Random Encounter,York,Sore Thumb Retro Games,Toy / Game Store,1
4079,Random Encounter,York,Café No.8,Coffee Shop,1
4080,Random Encounter,York,G's Barbers,Health & Beauty Service,1
4081,Random Encounter,York,Kings Pizza,Pizza Place,1
4082,Random Encounter,York,Bootham Bar,Historic Site,1
4083,Random Encounter,York,Exhibition Square,Plaza,1
4084,Random Encounter,York,Sainsbury's Local,Grocery Store,1
4085,Random Encounter,York,Gillygate,Historic Site,1
4086,Random Encounter,York,The King's Manor,College Academic Building,1
4087,Random Encounter,York,Exhibition Hotel,Pub,1
4088,Random Encounter,York,Theatre Royal Bus Stop EE - 32900122,Bus Stop,1
4089,Random Encounter,York,White Horse,Pub,1
4090,Random Encounter,York,Bistro Guy,Coffee Shop,1
4091,Random Encounter,York,Sure Hotel by Best Western Lamb & Lion Inn York,Hotel,1
4092,Random Encounter,York,Bar Hashery,Coffee Shop,1
4093,Random Encounter,York,Sketch by Origin,Café,1
4094,Random Encounter,York,Belle's Bouffe,Wine Bar,1
4095,Random Encounter,York,Multangular Tower,Castle,1
4096,Random Encounter,York,rebound,Music Store,1
4097,Random Encounter,York,York Art Gallery,Art Gallery,1
4098,Random Encounter,York,Bean & Gone Coffee,Coffee Shop,1
4099,Random Encounter,York,Georgian House,Boarding House,1
4100,Random Encounter,York,Raj,Indian Restaurant,1
4101,Random Encounter,York,Northern Dance Academy,Dance Studio,1
4102,Random Encounter,York,Croque Monsieur,Coffee Shop,1
4103,Random Encounter,York,New Bodrum,Middle Eastern Restaurant,1
4104,Random Encounter,York,Exhibition Square Bus Stop ED - 32900118,Bus Stop,1
4105,Random Encounter,York,Theatre Royal Bus Stop D - 32900120,Bus Stop,1
4106,Random Encounter,York,BBC Radio York,Radio Station,1
4107,Random Encounter,York,York Theatre Royal,Theater,1
