,Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
92,Café Benno,Vienna,The Hamam,Tanning Salon,1
93,Café Benno,Vienna,Exit the Room,Arcade,1
94,Café Benno,Vienna,united backyard cutters,Castle,1
95,Café Benno,Vienna,Cafe Ex,Nightclub,1
96,Café Benno,Vienna,Cafe Auszeit,Café,1
97,Café Benno,Vienna,Flarent Vienna Apartments,Vacation Rental,1
98,Café Benno,Vienna,Zoo Alsergrund,Pet Store,1
99,Café Benno,Vienna,Kamera - Service u. Fotohandel Helmut Redl,Other Repair Shop,1
100,Café Benno,Vienna,A1 Telekom Austria Hebragasse,Office,1
101,Café Benno,Vienna,Med. Zentrum Alser Straße (mza),Medical Center,1
102,Café Benno,Vienna,Bennogasse,Residential Building (Apartment / Condo),1
103,Café Benno,Vienna,Institut für Spezifische Prophylaxe und Tropenmedizin,Medical School,1
104,Café Benno,Vienna,Institut Für Virologie,General College & University,1
105,Café Benno,Vienna,Recheninstitut,College Auditorium,1
106,Café Benno,Vienna,B72,Music Venue,1
107,Café Benno,Vienna,Albertplatz,Plaza,1
108,Café Benno,Vienna,Steindl's Weinhaus,Gastropub,1
109,Café Benno,Vienna,Kindermed,Doctor's Office,1
110,Café Benno,Vienna,El Feo,Bar,1
111,Café Benno,Vienna,Pub Speakeasy,Pub,1
112,Café Benno,Vienna,Moody,Lounge,1
113,Café Benno,Vienna,"Zentrum f. Public Health, Allgemein- u. Familienmedizin",Medical School,1
114,Café Sperlhof,Vienna,Pfadfindergruppe Wien 51,General College & University,1
115,Café Sperlhof,Vienna,Monte Ofelio,Deli / Bodega,1
116,Café Sperlhof,Vienna,X-MAS Motorcycle Electrics,Shop & Service,1
117,Café Sperlhof,Vienna,Augartenspitz,Park,1
118,Café Sperlhof,Vienna,HOFER,Supermarket,1
119,Café Sperlhof,Vienna,McDonald's,Fast Food Restaurant,1
120,Café Sperlhof,Vienna,supermari,Gourmet Shop,1
121,Café Sperlhof,Vienna,omas Backstube,Bakery,1
122,Café Sperlhof,Vienna,Filmarchiv Austria,Library,1
123,Café Sperlhof,Vienna,Taqueria Los Mexikas,Mexican Restaurant,1
124,Café Sperlhof,Vienna,U Taborstraße,Metro Station,1
125,Café Sperlhof,Vienna,5B Taborstraße,Bus Stop,1
126,Café Sperlhof,Vienna,Urban Gardening Augartenspitz,Garden,1
127,Café Sperlhof,Vienna,Volksschule Schwarzingergasse,General College & University,1
128,Café Sperlhof,Vienna,Landeskriminalamt Ast. Ost,Police Station,1
129,Café Sperlhof,Vienna,Dr. Brandl,Doctor's Office,1
130,Café Sperlhof,Vienna,Zahnarzt Dr. Zadina,Dentist's Office,1
131,Café Sperlhof,Vienna,Gemeinschaftsgarten am Augartenspitz,Garden,1
132,Café Sperlhof,Vienna,Glascontainer,Recycling Facility,1
133,Café Sperlhof,Vienna,H Taborstraße,Tram Station,1
134,Café Sperlhof,Vienna,Nguyen’s,Vietnamese Restaurant,1
135,Café Sperlhof,Vienna,glanzrad.at,Bike Shop,1
136,Café Sperlhof,Vienna,MuTh - Konzertsaal der Wiener Sängerknaben,Theater,1
137,Café Sperlhof,Vienna,5a Malzgasse,Bus Stop,1
138,Café Sperlhof,Vienna,das taschenfahrrad,Bike Shop,1
139,Café Sperlhof,Vienna,Machma Naturseifen,Miscellaneous Shop,1
140,Café Sperlhof,Vienna,Bawag PSK,Bank,1
141,Café Sperlhof,Vienna,Leopold Imbiss,Diner,1
142,Café Sperlhof,Vienna,Miesbachgasse,Residential Building (Apartment / Condo),1
143,Café Sperlhof,Vienna,Polizeiinspektion Leopoldsgasse,Police Station,1
144,Café Sperlhof,Vienna,Hundeparcours,Dog Run,1
145,Café Sperlhof,Vienna,Vienna Stay Apartments - Top 1,Residential Building (Apartment / Condo),1
146,Café Sperlhof,Vienna,Kriminalmuseum,Museum,1
147,Café Sperlhof,Vienna,Grünstern Gartenküche,Bistro,1
148,Café Sperlhof,Vienna,Gastronomie wie noch nie,Beer Garden,1
149,Café Sperlhof,Vienna,Bobby's Indian Stuff,Miscellaneous Shop,1
150,Café Sperlhof,Vienna,Holland Blumen Mark,Flower Shop,1
151,Café Sperlhof,Vienna,Kino wie noch nie,Movie Theater,1
152,Café Sperlhof,Vienna,Bricks,Nightclub,1
153,SpielBar,Vienna,Confraternität,Hospital,1
154,SpielBar,Vienna,H Laudongasse,Tram Station,1
155,SpielBar,Vienna,City of Angels,Mexican Restaurant,1
156,SpielBar,Vienna,Sportordination Physio,Medical Center,1
157,SpielBar,Vienna,H Laudongasse/Kochgasse,Bus Stop,1
158,SpielBar,Vienna,Österreichisches Museum für Volkskunde,History Museum,1
159,SpielBar,Vienna,Oliver’s Teigwerkstatt,Bakery,1
160,SpielBar,Vienna,H Laudongasse/Lederergasse (13A),Bus Stop,1
161,SpielBar,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,1
162,SpielBar,Vienna,Cafe Daun,Coffee Shop,1
163,SpielBar,Vienna,Pygmalion,College Theater,1
164,SpielBar,Vienna,Libro Alser Straße,Paper / Office Supplies Store,1
165,SpielBar,Vienna,Röntgenordination Dock & Mendel,Medical Lab,1
166,SpielBar,Vienna,Psychologische Studentenberatung,Office,1
167,SpielBar,Vienna,bäckerei schwarz,Bakery,1
168,SpielBar,Vienna,H Skodagasse,Tram Station,1
169,SpielBar,Vienna,Urban Stay (Hotel Columbia),Hotel,1
170,SpielBar,Vienna,Adolf Schärf Heim Vindabona,Residential Building (Apartment / Condo),1
171,SpielBar,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,1
172,SpielBar,Vienna,Cafe Admiral,General Entertainment,1
173,SpielBar,Vienna,H Skodagasse,Bus Stop,1
174,SpielBar,Vienna,Muscheln & Mehr,Mediterranean Restaurant,1
175,SpielBar,Vienna,zum sussen eck,Candy Store,1
176,SpielBar,Vienna,Drei,Mobile Phone Shop,1
177,SpielBar,Vienna,Dr med Gertrude Reichel,Doctor's Office,1
178,SpielBar,Vienna,Chop Chop urban asian,Asian Restaurant,1
179,SpielBar,Vienna,Würstelstand Alserstraße,Austrian Restaurant,1
180,SpielBar,Vienna,Debakel,Other Nightlife,1
181,SpielBar,Vienna,cafe zeit,Dive Bar,1
182,SpielBar,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,1
183,SpielBar,Vienna,Baltic,Hotel,1
184,SpielBar,Vienna,Humanic,Shoe Store,1
185,SpielBar,Vienna,Melkerhof,Residential Building (Apartment / Condo),1
186,SpielBar,Vienna,KFA Wien,Office,1
187,SpielBar,Vienna,Fachärzte Kochgasse,Medical Center,1
188,SpielBar,Vienna,Aida Café-Konditorei Wien,Café,1
189,SpielBar,Vienna,Kaisaki Running Sushi,Sushi Restaurant,1
190,The Playground (Hoofdkerk),Antwerp,De Groene Waterman,Bookstore,1
191,The Playground (Hoofdkerk),Antwerp,Erfgoedbibliotheek Hendrik Conscience,Library,1
192,The Playground (Hoofdkerk),Antwerp,Quinten Matsijs,Bar,1
193,The Playground (Hoofdkerk),Antwerp,KU Leuven Campus Carolus,College Academic Building,1
194,The Playground (Hoofdkerk),Antwerp,Henderik Conscienseplein,Pedestrian Plaza,1
195,The Playground (Hoofdkerk),Antwerp,Hendrik Consienceplein,Plaza,1
196,The Playground (Hoofdkerk),Antwerp,Jezuitenrui,Plaza,1
197,The Playground (Hoofdkerk),Antwerp,Sint-Carolus Borromeuskerk,Church,1
198,The Playground (Hoofdkerk),Antwerp,Wim Meeussen Goudsmederij,Jewelry Store,1
199,The Playground (Hoofdkerk),Antwerp,hondenuitlaat 't stad,Dog Run,1
200,The Playground (Hoofdkerk),Antwerp,Bubble Waffle Café,Creperie,1
201,The Playground (Hoofdkerk),Antwerp,Bohm & Berkel,Wine Bar,1
202,The Playground (Hoofdkerk),Antwerp,Frituur 't Stad,Friterie,1
203,The Playground (Hoofdkerk),Antwerp,Marolus,Dessert Shop,1
204,The Playground (Hoofdkerk),Antwerp,Only Kebab,Kebab Restaurant,1
205,The Playground (Hoofdkerk),Antwerp,CAR 1.06,College Classroom,1
206,The Playground (Hoofdkerk),Antwerp,CAR 3.09,College Classroom,1
207,The Playground (Hoofdkerk),Antwerp,Demian Antiquariaat,Bookstore,1
208,The Playground (Hoofdkerk),Antwerp,Simply Emily,Soup Place,1
209,The Playground (Hoofdkerk),Antwerp,de Peerdestal,French Restaurant,1
210,The Playground (Hoofdkerk),Antwerp,CAR 1.07,College Classroom,1
211,The Playground (Hoofdkerk),Antwerp,The Chocolate Box,Tea Room,1
212,The Playground (Hoofdkerk),Antwerp,Nottebohmzaal,Library,1
213,The Playground (Hoofdkerk),Antwerp,Huis Franck,Lounge,1
214,The Playground (Hoofdkerk),Antwerp,Café De Kat,Pub,1
215,The Playground (Hoofdkerk),Antwerp,Café De Zwaan,Bar,1
216,The Playground (Hoofdkerk),Antwerp,The Collector's House,Art Gallery,1
217,The Playground (Hoofdkerk),Antwerp,Gerda De Vrij,Jewelry Store,1
218,The Playground (Hoofdkerk),Antwerp,Mo’na Antwerp,Health & Beauty Service,1
219,The Playground (Hoofdkerk),Antwerp,De peerdestal,Restaurant,1
220,The Playground (Hoofdkerk),Antwerp,Diana Brows,Health & Beauty Service,1
221,The Playground (Hoofdkerk),Antwerp,WM Art Gallery,Art Gallery,1
222,The Playground (Hoofdkerk),Antwerp,Halte Antwerpen Sint-Katelijne,Tram Station,1
223,The Playground (Hoofdkerk),Antwerp,Gallerij Anversville,Art Gallery,1
224,The Playground (Hoofdkerk),Antwerp,ViaVia Joker Reiscafé,Bistro,1
225,The Playground (Hoofdkerk),Antwerp,Bontwerkersplaats,Historic Site,1
226,The Playground (Hoofdkerk),Antwerp,Salon de Thé Claude,Tea Room,1
227,The Playground (Hoofdkerk),Antwerp,Simply Marie,Soup Place,1
228,The Playground (Hoofdkerk),Antwerp,Aveda Elements,Spa,1
229,The Playground (Station),Antwerp,Station Antwerpen-Centraal,Train Station,1
230,The Playground (Station),Antwerp,Starbucks,Coffee Shop,1
231,The Playground (Station),Antwerp,Premetrostation Diamant,Metro Station,1
232,The Playground (Station),Antwerp,Free Cone Day,Ice Cream Shop,1
233,The Playground (Station),Antwerp,Hampton by Hilton,Hotel,1
234,The Playground (Station),Antwerp,Panos,Sandwich Place,1
235,The Playground (Station),Antwerp,Delhaize Shop & Go,Fruit & Vegetable Store,1
236,The Playground (Station),Antwerp,Infrabel,Office,1
237,The Playground (Station),Antwerp,Spoor 3,Platform,1
238,The Playground (Station),Antwerp,Aardbeien van Hoogstraten,Farmers Market,1
239,The Playground (Station),Antwerp,Panos,Sandwich Place,1
240,The Playground (Station),Antwerp,Spoor 1,Platform,1
241,The Playground (Station),Antwerp,Chez Albert,Food Stand,1
242,The Playground (Station),Antwerp,Bestuurdersdepot NMBS,Office,1
243,The Playground (Station),Antwerp,Spoor 5,Platform,1
244,The Playground (Station),Antwerp,Spoor 6,Platform,1
245,The Playground (Station),Antwerp,Comics Station HQ,Office,1
246,The Playground (Station),Antwerp,Philippo Rozen,Flower Shop,1
247,The Playground (Station),Antwerp,Apotheek Centraal Station,Pharmacy,1
248,The Playground (Station),Antwerp,indian food ahaar,Deli / Bodega,1
249,The Playground (Station),Antwerp,Spoor 4,Platform,1
250,The Playground (Station),Antwerp,Capri,Café,1
251,The Playground (Station),Antwerp,Ticketautomaten NMBS,Travel Agency,1
252,The Playground (Station),Antwerp,Visit Antwerp Centraal Station,Tourist Information Center,1
253,The Playground (Station),Antwerp,Spoor 14,Platform,1
254,The Playground (Station),Antwerp,Yves Rocher,Cosmetics Shop,1
255,The Playground (Station),Antwerp,"FOD Volksgezondheid, Veiligheid van de Voedselketen en Leefmilieu",Government Building,1
256,The Playground (Station),Antwerp,Travelcenter NMBS,Travel Agency,1
257,The Playground (Station),Antwerp,Fruit to go,Food Stand,1
258,The Playground (Station),Antwerp,Hairtalk station,Health & Beauty Service,1
259,The Playground (Station),Antwerp,Perron 10,Bus Stop,1
260,The Playground (Station),Antwerp,Busperron Pelikaanstraat,Bus Station,1
261,The Playground (Station),Antwerp,Medex,Medical Center,1
262,The Playground (Station),Antwerp,Le Royal Cafe,Brasserie,1
263,The Playground (Station),Antwerp,telenet pop,Building,1
264,The Playground (Station),Antwerp,Leslokaal Nmbs Bestuurders,College Classroom,1
265,The Playground (Station),Antwerp,Levanto,Office,1
266,The Playground (Station),Antwerp,Relay,Newsstand,1
267,The Playground (Station),Antwerp,Busperron 11,Bus Station,1
268,Outpost Antwerpen,Antwerp,Interparking Meir,Parking,1
269,Outpost Antwerpen,Antwerp,Lbc,College Communications Building,1
270,Outpost Antwerpen,Antwerp,O’TACOS,Taco Place,1
271,Outpost Antwerpen,Antwerp,CVO LBC Antwerpen,School,1
272,Outpost Antwerpen,Antwerp,Kokomo City Antwerp,Bar,1
273,Outpost Antwerpen,Antwerp,Parfuma,Perfume Shop,1
274,Outpost Antwerpen,Antwerp,Kathedraallogies Drie Koningen,Bed & Breakfast,1
275,Outpost Antwerpen,Antwerp,Sint-Carolus Borromeuskerk,Church,1
276,Outpost Antwerpen,Antwerp,Rijksdienst Voor Pensioenen,Coworking Space,1
277,Outpost Antwerpen,Antwerp,Grobet,Camera Store,1
278,Outpost Antwerpen,Antwerp,Politie Antwerpen Regiokantoor Oudaan,Police Station,1
