Name,Address,City,PostalCode,Country,Latitude,Longitude
Bean Gaming,22 Silver Street,Leicester,LE1 5ET,England,52.6354334,-1.1347774
Quest,45 Belvoir Street,Leicester,LE1 6SL,England,52.6328705,-1.1312096
TRINITY Gaming cafe,Abinger place,Lewes,BN7 2QA,England,50.8753349,0.0090393
Red Panda Gaming Cafe,247 High Street,Lincoln,LN2 1HW,England,53.230734549999994,-0.540065358479572
Critical Hit Games Cafe,61a Kempston Street,Liverpool,L3 8HE,England,53.4107739,-2.9694543
Sugar and Dice,33A Cornhill,Liverpool,L1 8DN,England,53.3995962,-2.9848079
Tiny Ricks,449 Smithdown Road,Liverpool,L15 3JL,England,53.3901124,-2.9294395
Bad Moon Cafe,159a Great Dover St,London,SE1 4GZ,England,51.4966026,-0.0883479
Draughts - Board Game Café - Hackney,41 Kingsland High St,London,E8 2JS,England,51.547677050000004,-0.07568512583282144
Draughts - Board Game Café - Waterloo,"Arch 16, Leake St",London,SE1 7NN,England,51.5018915,-0.1156419
The Dell House,2 Green Lane,Malvern,WR14 4HU,England,52.0785556,-2.3294267
Fan Boy Three,25 Hilton St,Manchester,M1 1EL,England,53.4822297,-2.2327904
Digi Diner,59 High Street,Margate,CT9 1DX,England,51.3878238,1.3807375
Fire and Dice,39-41 Borough road,Middlesbrough,TS1 4AF,England,54.5731171,-1.2391554
Geek Retreat Milton Keynes,207 Queensway,Milton Keynes,MK2 2EB,England,51.9959392,-0.7239085
Players Paradice,18-20 Winchester Circle,Milton Keynes,MK10 0BA,England,52.0346668,-0.6899174
Manaflux,19a Pepper Street,Newcastle-under-Lyme,ST5 1PR,England,53.0111365,-2.2290463
Meeple Perk,89 Clayton Street,Newcastle-upon-Tyne,NE1 5PZ,England,54.971118,-1.6178522
Geek Retreat Newcastle,38 Grainger Street,Newcastle-upon-Tyne,NE1 5JG,England,54.9707753,-1.615411068330121
Board Beans,79 Witton Street,Northwich,CW9 5DW,England,53.262271,-2.5106603254590674
Slice and Dice (monthly pop up),7-9 Fye Bridge Street,Norwich,NR3 1LJ,England,52.633236600000004,1.2971900025398102
Zatu Board Game Café,Bowthorpe Shopping Centre,Norwich,NR5 9HA,England,52.6373062,1.21752
The Games Table,"86 Magdalen St, Norwich ",Norwich,NR2 1EL,England,52.6344087,1.2966457
